n,t,i,rho,rhou,rhov,E
1,0.0,1,-,-,-,-
2,0.0,2,-,-,-,-
3,0.0,3,-,-,-,-
4,0.0,4,247.47077121835946,472491.7172494533,16287.563776058454,71797183.54392713
5,0.0,5,241.70422128831325,445607.46612325043,17305.177891975607,70121427.55989893
6,0.0,6,236.69083325596776,420858.86674673576,18369.45387969624,68663400.94357868
7,0.0,7,232.18183033396562,398068.1245096893,19427.49292588916,67353463.34085622
8,0.0,8,228.0144419399094,377071.4112729298,20449.055966105643,66140642.257761694
9,0.0,9,224.05109540560272,357718.1255422675,21418.14273436526,64988819.04537261
10,0.0,10,220.2136770364541,339869.27966436883,22326.09202054772,63873371.02862364
11,0.0,11,216.44602603657697,323397.49161459506,23172.117340954894,62778352.71689085
12,0.0,12,212.71463446955536,308185.4673362245,23955.58882188391,61694231.839863665
13,0.0,13,209.0029481181026,294125.51208109333,24676.84190151939,60616108.6504061
14,0.0,14,205.30446182058208,281118.7743675275,25341.12775357038,59542312.72822097
15,0.0,15,201.6226327119587,269074.5921698128,25948.891010446885,58473361.97180734
16,0.0,16,197.96536967563733,257909.8702864593,26506.609172415654,57411169.83893343
17,0.0,17,194.3339689612435,247548.53520044565,27018.251156492955,56358469.04445699
18,0.0,18,190.74776903059043,237920.96235885491,27488.553699072763,55318420.29772381
19,0.0,19,187.21752388366116,228963.5404433112,27909.045635527415,54294317.107613675
20,0.0,20,183.75117116316025,220618.14942971905,28298.843922158427,53289303.46351932
21,0.0001,1,-,-,-,-
22,0.0001,2,-,-,-,-
23,0.0001,3,-,-,-,-
24,0.0001,4,174.5008763073721,197991.00269911278,29992.34463663566,50607207.03243246
25,0.0001,5,171.43721427077844,191753.92152247703,30247.670825164503,49718968.0864174
26,0.0001,6,168.48068196694575,185891.7418440214,30478.60743465694,48861319.745007
27,0.0001,7,165.62779320035375,180374.07892624338,30691.945444938086,48035155.46543339
28,0.0001,8,162.8831305353276,175170.52016642908,30881.311041302248,47241039.64404738
29,0.0001,9,160.21357676028293,170256.55982088955,31054.59497888008,46479219.56317529
30,0.0001,10,157.68148936013418,165606.2617503966,31212.543741122794,45749650.50172396
31,0.0001,11,155.32891583183886,161201.2512228163,31354.865400891176,45052060.53028124
32,0.0001,12,153.1153133513401,157017.9542471174,31482.973889850018,44385960.15841401
33,0.0001,13,150.8662217494793,153041.29131848968,31601.067513422502,43750677.63532686
34,0.0001,14,148.76708035584093,149255.46596645194,31707.67888363049,43145401.881778434
35,0.0001,15,146.78839520331078,145645.15723278455,31805.36688627354,42569204.66455445
36,0.0001,16,144.88056099532454,142196.55137809142,31893.32878566178,42021075.52003302
37,0.0001,17,143.08528490515127,138896.57495801957,31974.37016877651,41499948.89262609
38,0.0001,18,141.38544207396987,135740.57596782845,32050.687033611805,41004663.278809145
39,0.0001,19,139.75647718558002,132711.74707608554,32119.334309008562,40534130.16406507
40,0.0001,20,138.20460300728,129802.24398249754,32184.04171159661,40087193.2885264
41,0.0002,1,-,-,-,-
42,0.0002,2,-,-,-,-
43,0.0002,3,-,-,-,-
44,0.0002,4,135.5943577432678,122201.02472282354,33013.94319953614,39328065.2172935
45,0.0002,5,134.36675801612563,119713.64612901493,33062.26935214244,38972269.13768176
46,0.0002,6,133.1961350775474,117310.89256786794,33105.92248142975,38634181.438240856
47,0.0002,7,132.1065692401919,114987.65558736456,33155.27788379099,38312731.67920575
48,0.0002,8,131.03731038612335,112739.01082198232,33222.079795918806,38006997.53036134
49,0.0002,9,130.04891094841986,110560.94855484375,33264.80163441091,37716234.228290014
50,0.0002,10,129.08072799226773,108450.38960546342,33304.34747752279,37439650.538849935
51,0.0002,11,128.17238237249296,106402.88662932586,33373.95278891141,37176364.99637526
52,0.0002,12,127.29789832286754,104415.12027285944,33413.54083648946,36925787.009010814
53,0.0002,13,126.48149421545078,102485.10868136318,33455.8491612305,36687315.169100486
54,0.0002,14,125.67818110382765,100608.05230425698,33507.603782573286,36460169.84134941
55,0.0002,15,124.94155849177237,98786.03185632761,33559.259954596215,36243697.66459663
56,0.0002,16,124.22296930603875,97010.71584828479,33613.627932707284,36037397.44866246
57,0.0002,17,123.52389849172488,95282.99149203808,33663.26398697316,35840680.91559304
58,0.0002,18,122.87844691077977,93599.20559335555,33717.27630053708,35653086.4928417
59,0.0002,19,122.27581501486922,91963.70163045298,33772.39264590533,35474101.147514015
60,0.0002,20,121.64533435155305,90364.42627920568,33827.664492345524,35303308.57145331
61,0.00030000000000000003,1,-,-,-,-
62,0.00030000000000000003,2,-,-,-,-
63,0.00030000000000000003,3,-,-,-,-
64,0.00030000000000000003,4,122.11261792370824,86370.33072072071,34702.313801109565,35394802.0422604
65,0.00030000000000000003,5,121.58622235454085,84926.75342460787,34760.76775445232,35255418.84037466
66,0.00030000000000000003,6,121.13455097038872,83511.04166706822,34824.83730610097,35122138.189987056
67,0.00030000000000000003,7,120.68378839573131,82130.37390918277,34882.17833738557,34994603.843765825
68,0.00030000000000000003,8,120.27127056814054,80779.46701276832,34946.10146591149,34872826.91498988
69,0.00030000000000000003,9,119.82257300501381,79461.71427442048,35003.81449825753,34755976.537778296
70,0.00030000000000000003,10,119.44646362179012,78177.26317862693,35066.236019925935,34644088.86926817
71,0.00030000000000000003,11,119.10897779880796,76910.74031574087,35127.05580365604,34536898.41925953
72,0.00030000000000000003,12,118.74196600218725,75684.7917798991,35183.28301617351,34434004.60376219
73,0.00030000000000000003,13,118.3624944692291,74472.99101825248,35247.74631338502,34335221.44862506
74,0.00030000000000000003,14,118.05741581466822,73294.05366926493,35299.32965486592,34240261.38040567
75,0.00030000000000000003,15,117.72569867934239,72141.27274826136,35365.474827245045,34148933.868202746
76,0.00030000000000000003,16,117.4328022562828,71015.55609069628,35417.689222076086,34060958.695400424
77,0.00030000000000000003,17,117.14729800147327,69906.7678613533,35470.583057020915,33976165.46683391
78,0.00030000000000000003,18,116.86404196727158,68832.26131575911,35529.7901116448,33894245.551960684
79,0.00030000000000000003,19,116.5836214021451,67769.6881263382,35579.081019798876,33815023.80474531
80,0.00030000000000000003,20,116.28947478661684,66737.73698840161,35629.36196718342,33738275.56728148
81,0.0004,1,-,-,-,-
82,0.0004,2,-,-,-,-
83,0.0004,3,-,-,-,-
84,0.0004,4,117.59949634135128,64264.2163468134,36504.73331428587,34117695.501849554
85,0.0004,5,117.38991917019273,63308.45591066077,36537.07959159787,34049074.43079806
86,0.0004,6,117.11274051489829,62379.16294190536,36585.03178036998,33981514.726919845
87,0.0004,7,116.89845300891288,61451.076715131225,36622.2815057305,33915224.815646276
88,0.0004,8,116.71682221944639,60553.6996417834,36644.6856144859,33850024.681439936
89,0.0004,9,116.46140161693022,59669.603650826684,36686.15381508481,33785664.86806926
90,0.0004,10,116.23963203869995,58804.74864778567,36715.234574605776,33722050.25250288
91,0.0004,11,116.05470250367766,57957.031480927886,36731.17343549429,33659002.22048725
92,0.0004,12,115.81082843570225,57128.07996221014,36765.422562532636,33596385.89014543
93,0.0004,13,115.55422067133547,56312.91507571177,36787.83502319344,33534071.878457632
94,0.0004,14,115.39525098772344,55510.87496218459,36787.77099013217,33472028.369167585
95,0.0004,15,115.1398202819187,54726.548964415284,36818.546508482075,33410050.82467717
96,0.0004,16,114.96063730457449,53967.59301580513,36811.77803174905,33347950.159012645
97,0.0004,17,114.69908991695557,53205.534112359295,36826.67293904089,33286078.4600948
98,0.0004,18,114.5156505268657,52468.92671805956,36823.272378717724,33223515.02067734
99,0.0004,19,114.2767418728476,51747.47618180574,36828.491415718105,33161025.80820385
100,0.0004,20,114.10774185772583,51042.16810215581,36816.57626420335,33097877.81999091
