x_over_c,Cp_exp,Cp_pyfr,cfd_x_over_c,dy_m,dx_over_c,abs_error
-0.80454,-0.0132,-0.3586616488110547,-0.8049149598394122,0.005620842333883047,-0.00037495983941215894,0.34546164881105473
-0.74239,-0.0102,-1.3039899120953853,-0.7415259168261573,0.006047224160283804,0.000864083173842678,1.2937899120953853
-0.67907,-0.0091,0.33003246126305935,-0.6801754945800418,0.003858642652630806,-0.0011054945800418325,0.33913246126305935
-0.61762,-0.0062,0.5830440956003787,-0.6176768314270746,0.0,-5.6831427074688357e-05,0.5892440956003787
-0.55646,-0.0012,1.169434010916968,-0.5572027393749782,0.0019119124626740813,-0.0007427393749782629,1.1706340109169682
-0.49366,0.006,-0.638011126247791,-0.4943217904794784,0.0014745560474693775,-0.0006617904794783969,0.644011126247791
-0.46311,0.0088,-0.5155273704747745,-0.46350757280985516,0.0066413539461791515,-0.0003975728098551401,0.5243273704747745
-0.4319,0.0135,-0.4790997468676117,-0.43069986360413687,0.0019157532369717956,0.0012001363958631384,0.4925997468676117
-0.40088,0.0189,0.028777399112568547,-0.4010425437064398,0.003569837659597397,-0.00016254370643981053,0.009877399112568547
-0.36953,0.0263,-0.5434527291979022,-0.3695519197554816,0.005382087081670761,-2.1919755481547565e-05,0.5697527291979022
-0.33927,0.0335,-0.09162873554216874,-0.33898740297272095,0.004134447779506445,0.00028259702727906344,0.12512873554216875
-0.30847,0.0426,-1.0000073063229484,-0.30966922640800476,0.001965039409697056,-0.0011992264080047388,1.0426073063229484
-0.27634,0.0538,-0.056255904195055405,-0.2754089200780505,0.003742067376151681,0.0009310799219494625,0.1100559041950554
-0.2462,0.066,-1.0056861373795785,-0.24636114637056988,0.0018254917813465,-0.00016114637056988124,1.0716861373795785
-0.21497,0.0811,0.2218363461034401,-0.2148411103657314,0.005289941560477018,0.000128889634268603,0.1407363461034401
-0.18383,0.0992,0.2223903784016479,-0.18350696634678615,0.0051386491395533085,0.0003230336532138445,0.12319037840164791
-0.15376,0.1191,-0.2504868425859819,-0.15418470970221929,0.0,-0.00042470970221927806,0.3695868425859819
-0.12212,0.1447,-0.26350660159386524,-0.12258297453324,0.0,-0.0004629745332399987,0.40820660159386524
-0.09025,0.1739,0.7601746140177761,-0.09091496467590332,0.003919101785868406,-0.0006649646759033234,0.5862746140177761
-0.04586,0.2257,-0.6389806827696547,-0.04581353582796596,0.006302993278950453,4.6464172034035855e-05,0.8646806827696547
-0.03151,0.2442,1.248181178533388,-0.03146726992868242,0.004940642975270748,4.273007131758155e-05,1.003981178533388
-0.01647,0.2649,1.3422494700887084,-0.0165075318710435,8.210142368625384e-06,-3.7531871043501586e-05,1.0773494700887083
-0.00189,0.2868,0.9965759338761347,-0.002566890214525518,0.0016491933492943645,-0.0006768902145255181,0.7097759338761347
0.01228,0.3039,1.9327520097727635,0.012602213592756362,5.110415218016977e-05,0.0003222135927563631,1.6288520097727635
0.02711,0.3084,-0.14952511070488375,0.026782220672993434,0.006622699406959939,-0.00032777932700656445,0.45792511070488373
0.04168,0.2965,-0.3186967420691806,0.04153956348697345,0.004072048391712219,-0.00014043651302655252,0.6151967420691806
0.05692,0.2586,-0.22744122987399212,0.05735458273972784,0.005286640295417826,0.0004345827397278443,0.4860412298739921
0.07094,0.1842,-0.06531220137729828,0.07108040597467195,0.007410747596141945,0.00014040597467195048,0.2495122013772983
0.08573,0.0728,-0.5403522792213932,0.08628339994521368,0.003994701084076497,0.0005533999452136812,0.6131522792213931
0.10021,-0.0623,-0.5786870524704636,0.10026693344116211,0.004202730975348467,5.693344116211585e-05,0.5163870524704636
0.11471,-0.1726,4.679921160436136,0.1144300170597576,8.557180902679738e-05,-0.00027998294024240977,4.852521160436136
0.12876,-0.2504,6.463042148816118,0.12847523071936198,6.473260475793607e-05,-0.00028476928063803086,6.713442148816118
0.15859,-0.3869,-0.8004810976972282,0.15878994904813312,0.004252158508940375,0.00019994904813311343,0.4135810976972282
0.17271,-0.4647,0.045899128020644185,0.17282613331363314,0.004261202215311835,0.00011613331363313772,0.5105991280206442
0.18734,-0.5173,-0.3984028117401911,0.18750659766651337,0.0069158290238888614,0.00016659766651336283,0.11889718825980888
0.20189,-0.5604,8.51079879532851,0.20221258912767684,1.269442579021618e-05,0.0003225891276768533,9.07119879532851
0.21721,-0.5963,3.788451229217967,0.21702013909816742,0.0016780975080313114,-0.00018986090183256699,4.384751229217967
0.23077,-0.6202,6.534213990201273,0.2306454238437471,0.0013681124580588802,-0.00012457615625291463,7.154413990201273
0.24591,-0.641,-0.707361053729225,0.24596225647699266,0.004518165363314553,5.225647699266811e-05,0.06636105372922496
0.26072,-0.6602,-0.5706855475482702,0.2601909140745799,0.007121699658877805,-0.0005290859254201141,0.08951445245172984
0.2747,-0.6786,-0.6434022866880439,0.2747662720226106,0.0041378992428000305,6.627202261061393e-05,0.03519771331195609
0.28942,-0.6915,-0.7036213357163223,0.2894517211686997,0.005459399213918172,3.1721168699705427e-05,0.012121335716322346
0.30461,-0.708,6.10480699568841,0.30487193947746644,0.001291245074501332,0.0002619394774664441,6.81280699568841
0.31883,-0.7221,4.860876632604621,0.3190878246511732,0.0015060908695702577,0.00025782465117318853,5.5829766326046215
0.33324,-0.7372,6.4548914813520994,0.33322299520174664,0.0010027155382386146,-1.7004798253339448e-05,7.192091481352099
0.34839,-0.7557,-0.1972145062198474,0.34873783588409424,0.007440749825046014,0.0003478358840942608,0.5584854937801527
0.36408,-0.7578,-0.38106799348665094,0.36381855607032776,0.007265264111086245,-0.00026144392967225594,0.3767320065133491
0.37742,-0.7796,-0.6946715832068118,0.3773301130249387,0.004054697958432885,-8.988697506129295e-05,0.08492841679318819
0.39194,-0.7905,-0.9661474093286333,0.3920417811189379,0.0037300327295104116,0.00010178111893788255,0.17564740932863332
0.40639,-0.8021,-0.057609021538755224,0.40626621672085356,0.0074891178297899486,-0.00012378327914641662,0.7444909784612448
0.42087,-0.8173,-0.7187613337115778,0.4207286806333633,0.004283653091803646,-0.0001413193666367496,0.09853866628842223
0.43579,-0.8296,-0.43568279272921207,0.4357714028585525,0.0036851699610453564,-1.859714144752944e-05,0.39391720727078794
0.45041,-0.8378,-0.23775475419447578,0.4504568874835968,0.005108053687258009,4.688748359682471e-05,0.6000452458055242
0.46499,-0.8453,0.9463507751501431,0.4650865991910299,0.0024190305899235848,9.659919102988912e-05,1.7916507751501431
0.47875,-0.8724,-0.13621768108062335,0.4787292508851914,0.005037813065662991,-2.074911480859365e-05,0.7361823189193766
