x_over_c,x_surface_m,tx,ty,x_probe1_m,y_probe1_m,x_probe2_m,y_probe2_m
1.57,0.6594,1.0,0.0,0.6594,0.0005,0.6594,0.0015
1.5933,0.669186,1.0,0.0,0.669186,0.0005,0.669186,0.0015
1.6265,0.68313,1.0,0.0,0.68313,0.0005,0.68313,0.0015
1.6594,0.696948,1.0,0.0,0.696948,0.0005,0.696948,0.0015
1.6927,0.7109340000000001,1.0,0.0,0.7109340000000001,0.0005,0.7109340000000001,0.0015
1.7258,0.7248359999999999,1.0,0.0,0.7248359999999999,0.0005,0.7248359999999999,0.0015
1.7594,0.738948,1.0,0.0,0.738948,0.0005,0.738948,0.0015
1.7923,0.7527659999999999,1.0,0.0,0.7527659999999999,0.0005,0.7527659999999999,0.0015
1.8259,0.7668780000000001,1.0,0.0,0.7668780000000001,0.0005,0.7668780000000001,0.0015
1.859,0.7807799999999999,1.0,0.0,0.7807799999999999,0.0005,0.7807799999999999,0.0015
1.8926,0.794892,1.0,0.0,0.794892,0.0005,0.794892,0.0015
