n,t,i,p,u,v
1,0.0,1,-,-,-
2,0.0,2,-,-,-
3,0.0,3,nan,nan,nan
4,0.0,4,nan,nan,nan
5,0.0,5,nan,nan,nan
6,0.0,6,nan,nan,nan
7,0.01,1,-,-,-
8,0.01,2,-,-,-
9,0.01,3,nan,nan,nan
10,0.01,4,nan,nan,nan
11,0.01,5,nan,nan,nan
12,0.01,6,nan,nan,nan
