x_over_c,Cp_exp,Cp_cfd,Cp_error
-0.80454,-0.0132,-0.006554221893673638,0.0066457781063263615
-0.74239,-0.0102,-0.006841995508364253,0.003358004491635748
-0.67907,-0.0091,-0.0069365411392235,0.0021634588607765005
-0.61762,-0.0062,-0.006743864914927009,-0.000543864914927009
-0.55646,-0.0012,-0.006173062539985349,-0.004973062539985349
-0.49366,0.006,-0.005023118746919373,-0.011023118746919372
-0.46311,0.0088,-0.00394340770221954,-0.012743407702219541
-0.4319,0.0135,-0.0024769371156106584,-0.015976937115610657
-0.40088,0.0189,-0.0005244327502907386,-0.019424432750290738
-0.36953,0.0263,0.0011071202054542641,-0.025192879794545736
-0.33927,0.0335,0.004159552721745709,-0.029340447278254293
-0.30847,0.0426,0.008102049910030499,-0.034497950089969504
-0.27634,0.0538,0.011336009635447857,-0.042463990364552145
-0.2462,0.066,0.017305045298948565,-0.04869495470105144
-0.21497,0.0811,0.024935578165735564,-0.05616442183426444
-0.18383,0.0992,0.031168956739591035,-0.06803104326040896
-0.15376,0.1191,0.04267475002377114,-0.07642524997622885
-0.12212,0.1447,0.057460890075668444,-0.08723910992433155
-0.09025,0.1739,0.07658128513352055,-0.09731871486647944
-0.04586,0.2257,0.11151569098546538,-0.11418430901453464
-0.03151,0.2442,0.12260509735911494,-0.12159490264088506
-0.01647,0.2649,0.13454585793854273,-0.1303541420614573
-0.00189,0.2868,0.16412672523281543,-0.12267327476718456
0.01228,0.3039,0.16843328953906878,-0.13546671046093123
0.02711,0.3084,0.17963384393286858,-0.12876615606713143
0.04168,0.2965,0.1857742640660524,-0.11072573593394758
0.05692,0.2586,0.18763057669301222,-0.07096942330698777
0.07094,0.1842,0.18651684561913762,0.002316845619137614
0.08573,0.0728,0.18160886525131992,0.10880886525131991
0.10021,-0.0623,0.17340196475769665,0.23570196475769664
0.11471,-0.1726,0.1638384904276972,0.3364384904276972
0.12876,-0.2504,0.14798972655594206,0.39838972655594207
0.15859,-0.3869,0.10863363138933227,0.49553363138933226
0.17271,-0.4647,0.08014090883920344,0.5448409088392034
0.18734,-0.5173,0.05365578140894921,0.5709557814089492
0.20189,-0.5604,0.01619574568755418,0.5765957456875542
0.21721,-0.5963,-0.02689803033887115,0.5694019696611289
0.23077,-0.6202,-0.07531824498592771,0.5448817550140723
0.24591,-0.641,-0.12805456017440578,0.5129454398255943
0.26072,-0.6602,-0.1870752296324749,0.4731247703675251
0.2747,-0.6786,-0.23907532973110424,0.43952467026889575
0.28942,-0.6915,-0.30715886374005186,0.38434113625994815
0.30461,-0.708,-0.37972783042843355,0.3282721695715664
0.31883,-0.7221,-0.4730209858804544,0.24907901411954558
0.33324,-0.7372,-0.5411691015245664,0.19603089847543353
0.34839,-0.7557,-0.6271446702293524,0.12855532977064765
0.36408,-0.7578,-0.7150567124564635,0.04274328754353651
0.37742,-0.7796,-0.7885924519990685,-0.008992451999068507
0.39194,-0.7905,-0.8783931226156275,-0.08789312261562754
0.40639,-0.8021,-0.9653140927883167,-0.16321409278831667
0.42087,-0.8173,-1.0312162363181843,-0.21391623631818424
0.43579,-0.8296,-1.099169278261321,-0.26956927826132093
0.45041,-0.8378,-1.148880815658636,-0.3110808156586361
0.46499,-0.8453,-1.1805336722136317,-0.33523367221363165
0.47875,-0.8724,-1.201941424924392,-0.3295414249243921
0.49411,-0.862,-1.2072359526835164,-0.34523595268351637
0.5085,-0.8483,-1.2003820552032036,-0.35208205520320357
0.523,-0.85,-1.1748980694201827,-0.32489806942018273
0.53709,-0.8491,-1.1461057541652586,-0.29700575416525865
0.55199,-0.8507,-1.0892732042090412,-0.23857320420904116
0.56632,-0.8448,-1.0194668829479612,-0.17466688294796118
0.58108,-0.8362,-0.9498150812220417,-0.11361508122204167
0.59548,-0.8198,-0.8483543268789521,-0.028554326878952097
0.61061,-0.7949,-0.7404575702319022,0.05444242976809788
0.62486,-0.7727,-0.6548741732761033,0.11782582672389674
0.63962,-0.7061,-0.5506492566430472,0.15545074335695275
0.6586,-0.5149,-0.4422687075344645,0.07263129246553551
0.67319,-0.4182,-0.37920830538223554,0.03899169461776447
0.68732,-0.4138,-0.3406101021947522,0.07318989780524782
0.70193,-0.4108,-0.3086967849842186,0.1021032150157814
0.71624,-0.4155,-0.28855732746715956,0.12694267253284042
0.7302,-0.4249,-0.2757274413297651,0.14917255867023488
0.74487,-0.4303,-0.2626372573210905,0.16766274267890952
0.75879,-0.4284,-0.2535044562241028,0.17489554377589722
0.77255,-0.4303,-0.24328639525935952,0.1870136047406405
0.78691,-0.437,-0.2336036001341737,0.2033963998658263
0.80177,-0.438,-0.22437357184229728,0.21362642815770272
0.8159,-0.4473,-0.21548274457852948,0.2318172554214705
0.83063,-0.4508,-0.20829939283182747,0.2425006071681725
0.84434,-0.4572,-0.1991442019006894,0.25805579809931056
0.85921,-0.457,-0.19114782936421884,0.26585217063578115
0.87351,-0.4612,-0.17988681524212663,0.28131318475787337
0.88825,-0.4508,-0.16683599384794195,0.283964006152058
0.90239,-0.4482,-0.15433213601658094,0.293867863983419
0.91668,-0.4318,-0.1361547329819352,0.2956452670180648
0.93107,-0.4231,-0.11902391460554061,0.30407608539445935
0.94509,-0.4084,-0.0982696793838398,0.3101303206161602
0.95991,-0.3837,-0.06978947314119564,0.31391052685880433
0.97394,-0.3624,-0.0479889979906187,0.3144110020093813
0.9884,-0.3371,-0.019306185964664924,0.3177938140353351
1.0031,-0.3011,0.0054380962561771315,0.3065380962561771
1.0175,-0.2667,0.03636464575656368,0.30306464575656367
1.0315,-0.2427,0.05761484979888604,0.30031484979888606
1.0458,-0.2026,0.0783718235939593,0.28097182359395934
1.0944,-0.1318,0.09725572227783007,0.22905572227783005
1.1269,-0.0986,0.09248422207941988,0.19108422207941989
1.16,-0.0883,0.07955469030065597,0.16785469030065597
1.193,-0.0544,0.06646844326398553,0.12086844326398552
1.226,-0.0422,0.053900116049326596,0.0961001160493266
1.26,-0.0401,0.041185659921941044,0.08128565992194103
1.2938,-0.0377,0.03170729768392171,0.0694072976839217
1.3267,-0.0407,0.023692897493105228,0.06439289749310523
1.3596,-0.0432,0.016121065462141808,0.05932106546214181
1.3926,-0.0432,0.010680854082916615,0.05388085408291662
1.4266,-0.0533,0.006165676765998251,0.05946567676599825
1.4597,-0.0564,0.00194342355312943,0.05834342355312943
1.4931,-0.0597,-0.001076303787660683,0.05862369621233932
1.5268,-0.064,-0.003581904527170017,0.06041809547282998
1.5593,-0.0662,-0.005927337215705607,0.060272662784294384
1.5933,-0.0684,-0.007606614507184653,0.06079338549281535
1.6265,-0.0736,-0.00900163640725902,0.06459836359274097
1.6594,-0.0763,-0.010313626322241042,0.06598637367775896
1.6927,-0.0769,-0.011262260102403523,0.06563773989759647
1.7258,-0.0797,-0.012061786668096937,0.06763821333190306
1.7594,-0.0802,-0.01283060727420513,0.06736939272579487
1.7923,-0.0821,-0.013404385666017071,0.06869561433398294
1.8259,-0.0788,-0.013908107948374033,0.06489189205162596
