iteration,U,p,k,omega
501.0,0.000233696484792,0.000168186741828,0.000331693592128,5.68938159938e-05
502.0,0.000233606222737,0.000168755355038,0.000331486264546,5.68295608275e-05
503.0,0.000233515177547,0.000169631097491,0.000331280844945,5.67643942922e-05
504.0,0.00023342424031,0.000171630723727,0.000331075540654,5.66988802233e-05
505.0,0.000233331629437,0.000171912356378,0.00033086949463,5.66335696577e-05
506.0,0.000233237952274,0.000168735577178,0.000330663260261,5.65681354366e-05
507.0,0.000233143310446,0.000166655882197,0.000330455741455,5.65020613152e-05
508.0,0.000233047972672,0.000165182341096,0.000330244818571,5.64364620444e-05
509.0,0.000232951584668,0.000164513699311,0.000330031167197,5.63714507201e-05
510.0,0.000232854032669,0.000163740076273,0.000329815541261,5.63061630358e-05
511.0,0.000232755263893,0.000162898515722,0.000329599824682,5.62406505303e-05
512.0,0.000232655128983,0.0001620651196,0.000329382456292,5.61751330042e-05
513.0,0.000232554118388,0.000161321043358,0.000329164765982,5.61106364569e-05
514.0,0.000232451261373,0.00015994352578,0.000328948000352,5.60466502837e-05
515.0,0.000232346864881,0.000159027372619,0.000328730814115,5.59826902446e-05
516.0,0.000232240534358,0.000158708919859,0.000328514030123,5.59178376438e-05
517.0,0.000232133197467,0.000159400903753,0.000328296043523,5.58531228414e-05
518.0,0.00023202356362,0.000160347309186,0.000328078341902,5.57885719733e-05
519.0,0.000231912401295,0.000161348175057,0.000327861689703,5.57250127988e-05
520.0,0.000231799346569,0.000162344422424,0.000327641545493,5.56621642587e-05
521.0,0.000231684981649,0.000163485318424,0.000327419660155,5.55986318927e-05
522.0,0.000231568021305,0.000165621605156,0.000327196688764,5.5535070164e-05
523.0,0.000231449312469,0.000167433373063,0.00032697328227,5.54720316142e-05
524.0,0.00023132801808,0.000164703480117,0.000326750470128,5.54093853456e-05
525.0,0.000231204444418,0.000162632029751,0.00032652806335,5.53462009602e-05
526.0,0.000231079611751,0.000161250709057,0.000326304496539,5.52833105248e-05
527.0,0.000230951776716,0.000160707141294,0.000326080190632,5.52208563553e-05
528.0,0.00023082214502,0.000160104328378,0.00032585543893,5.51587361667e-05
529.0,0.000230690016443,0.000159205554121,0.000325630165364,5.50967329017e-05
530.0,0.000230555700421,0.00015822626795,0.000325404280254,5.5034989159e-05
531.0,0.000230418321851,0.000157344816927,0.000325127754472,5.49738423632e-05
532.0,0.000230278132529,0.000155607907595,0.000324818147478,5.47994404153e-05
533.0,0.000230135582843,0.000154205460064,0.000324513187325,5.46359547232e-05
534.0,0.000229990805784,0.000153584453945,0.000324212443557,5.44811858178e-05
535.0,0.000229843632233,0.000153993803882,0.000323916732201,5.43341148434e-05
536.0,0.00022969412087,0.000154761266201,0.000323625771639,5.41939769892e-05
537.0,0.000229541902474,0.000155483022881,0.000323338022354,5.40599081903e-05
538.0,0.000229387599308,0.000156318855706,0.000323054752416,5.39300921751e-05
539.0,0.000229231836549,0.000157517897388,0.000322774252938,5.38044521825e-05
540.0,0.00022907372805,0.000160310053229,0.000322498606421,5.36823116649e-05
541.0,0.000228913444602,0.000159242477808,0.000322224474506,5.35646363889e-05
542.0,0.000228751495127,0.000156153696257,0.000321953416091,5.34507233059e-05
543.0,0.000228587124311,0.000154650743325,0.000321684078692,5.33396969895e-05
544.0,0.000228421157942,0.000153576757631,0.000321414000034,5.32325985184e-05
545.0,0.000228253322874,0.000153264892423,0.000321143932936,5.31285836789e-05
546.0,0.000228083197047,0.000152650649791,0.00032087384249,5.30268701357e-05
