x_m,x_over_c,y_wall_m,pressure,Cp
-1.350000023841858,-3.214285771052043,0.0,nan,nan
-1.3477879762649536,-3.2090189911070324,0.0,nan,nan
-1.3477809429168701,-3.209002245040167,0.002489730715751648,nan,nan
-1.347317099571228,-3.2078978561219715,0.2267940789461136,nan,nan
-1.3468906879425049,-3.2068825903392977,0.3373454213142395,nan,nan
-1.3468698263168335,-3.2068329198019847,0.025173867121338844,nan,nan
-1.3468413352966309,-3.2067650840395974,0.013472797349095345,nan,nan
-1.346812129020691,-3.2066955452873596,0.08572307974100113,nan,nan
-1.346756100654602,-3.2065621444157193,0.09782128781080246,nan,nan
-1.3467258214950562,-3.2064900511787053,0.03685780242085457,nan,nan
-1.3466795682907104,-3.2063799245016917,0.07373650372028351,nan,nan
-1.346598505973816,-3.206186918985276,0.11013191938400269,nan,nan
-1.3465511798858643,-3.2060742378234863,0.12260948121547699,nan,nan
-1.3464388847351074,-3.2058068684169228,0.13516010344028473,nan,nan
-1.3464117050170898,-3.205742154802595,0.17395015060901642,nan,nan
-1.3461312055587769,-3.205074298949469,0.0488957017660141,nan,nan
-1.3461155891418457,-3.2050371170043945,0.061549436300992966,nan,nan
-1.3461076021194458,-3.205018100284395,0.2137865573167801,nan,nan
-1.3460595607757568,-3.2049037161327547,0.2539162039756775,nan,nan
-1.3459726572036743,-3.2046968028658913,0.160774365067482,nan,nan
-1.3459430932998657,-3.204626412618728,0.23978671431541443,nan,nan
-1.3459124565124512,-3.2045534678867886,0.29559752345085144,nan,nan
-1.3456894159317017,-3.204022418885004,0.28182491660118103,nan,nan
-1.3455777679170882,-3.2037565902787817,0.0,nan,nan
-1.3455687761306763,-3.203735181263515,0.002489730715751648,nan,nan
-1.3455618619918823,-3.2037187190282914,0.004979461431503296,nan,nan
-1.344967246055603,-3.202302966799055,0.26770830154418945,nan,nan
-1.3446341753005981,-3.2015099411919006,0.22903205454349518,nan,nan
-1.344622254371643,-3.2014815580277216,0.0120897451415658,nan,nan
-1.3437813520431519,-3.199479409626552,0.33909422159194946,nan,nan
-1.343739628791809,-3.1993800685519265,0.027014611288905144,nan,nan
