x_over_c,Cp_corrected,Cf_corrected
-3.208545918367347,0.021201960855917565,0.0051593407182440616
-3.197066326530613,0.01811025425917768,0.005637056143021477
-3.185586734693878,0.012932600236572587,0.0056799320307994216
-3.174107142857143,0.011036772173450695,0.005408297009602998
-3.1626275510204085,0.010008857766178877,0.005042493882787904
-3.1511479591836737,0.008941096249476177,0.0046843224994936985
-3.1396683673469394,0.008054627385062307,0.004367597943104803
-3.1281887755102042,0.007381627008169506,0.0041062384920638705
-3.1167091836734695,0.006868804252512763,0.0039003360114993235
-3.105229591836735,0.0064749651203617675,0.003742947088313089
-3.09375,0.006173384654000156,0.0036247829302955767
-3.0822704081632657,0.005935502936429571,0.0035360956857215134
-3.070790816326531,0.005736288067622249,0.0034681488804047126
-3.0593112244897966,0.005561575093104303,0.0034144320498376768
-3.0478316326530615,0.005401019383494887,0.0033701844604339106
-3.0363520408163263,0.005249920456012556,0.0033321275221970905
-3.0248724489795924,0.0051062865728952874,0.003298206907313294
-3.013392857142857,0.004967635389167182,0.0032670253190782805
-3.0019132653061233,0.0048338578854634565,0.0032376747461918373
-2.990433673469388,0.004706038223593316,0.0032096752704802722
-2.978954081632653,0.004583019344540601,0.0031827589668610265
-2.9674744897959187,0.004465246939425904,0.0031567576660136466
-2.955994897959184,0.004354218013028191,0.003131603847186641
-2.9445153061224496,0.004249502381576942,0.003107269878890244
-2.9330357142857144,0.004151990400847784,0.003083697096243422
-2.921556122448979,0.004060417949819438,0.003060814660819722
-2.9100765306122454,0.003969744434956089,0.00304711788300338
-2.89859693877551,0.0038757624689083415,0.003034274424587169
-2.8871173469387763,0.0037794665691771485,0.003021250860219526
-2.875637755102041,0.0036843085508136246,0.003008217445218991
-2.8641581632653064,0.0035908535154054637,0.002995315286886447
-2.8526785714285716,0.0034992630112287387,0.0029826301272740043
-2.841198979591837,0.003410353246306424,0.002970222813215767
-2.8297193877551026,0.0033240213862433766,0.0029581374640526795
-2.8182397959183674,0.003239435568445318,0.0029463838215613683
-2.8067602040816335,0.0031565421917415623,0.0029349494877741263
-2.7952806122448983,0.0030756224511136027,0.002923826330151426
-2.783801020408163,0.0029965830004970912,0.0029130106058624454
-2.7723214285714293,0.0029193091091542058,0.002902494500753824
-2.760841836734694,0.00284389079763719,0.002892272796598207
-2.7493622448979598,0.002770137143165766,0.0028823434561114363
-2.7378826530612246,0.0026976531476127353,0.0028726995615746377
-2.7264030612244894,0.002626594642488062,0.0028633269580592433
-2.7149234693877555,0.0025572587748865006,0.0028542134487538873
-2.7034438775510203,0.0024894590673494323,0.00284535296105545
-2.6919642857142865,0.0024227552544397518,0.002836737846945253
-2.6804846938775513,0.002356959176911967,0.002828355545184828
-2.669005102040816,0.0022921878837176223,0.0028201907060996733
-2.657525510204082,0.0022284516021782532,0.0028122270662199857
-2.646045918367347,0.002165605156139701,0.0028044501430801194
-2.6345663265306127,0.002103501830080022,0.0027968492004001306
-2.6230867346938775,0.002042049868849079,0.002789415867348643
-2.6116071428571437,0.0019812020350776535,0.0027821438976189227
-2.6001275510204085,0.0019211095797216037,0.002775027417950373
-2.5886479591836733,0.0018618788345854053,0.0027680615400393176
-2.5771683673469394,0.001803438565478514,0.002761244595379132
-2.5656887755102042,0.0017455947249177372,0.002754574694818553
-2.55420918367347,0.0016882464863230515,0.00274804735569419
-2.5427295918367347,0.001631498368108085,0.0027416575407512057
-2.53125,0.001575480633685578,0.002735400829200536
-2.5197704081632657,0.0015201365117890105,0.0027292734609323695
-2.5082908163265305,0.0014652741023798742,0.0027232710767046632
-2.4968112244897966,0.0014107180470584327,0.002717386889379695
-2.4853316326530615,0.001356424667482486,0.002711613315977064
-2.4738520408163263,0.0013025019670151097,0.0027059439319041456
-2.4623724489795924,0.0012490655298673116,0.002700373494303866
-2.450892857142857,0.0011960974626049302,0.0026948995157246294
-2.439413265306123,0.0011434794255449278,0.00268952133449163
-2.4279336734693877,0.0010911168193786472,0.002684236937213991
-2.4164540816326534,0.0010390283546916701,0.0026790438248344207
-2.4049744897959187,0.000987298935102415,0.0026739401295583216
-2.3934948979591835,0.0009359854338668674,0.002668923477754495
-2.3820153061224496,0.0008850931478251542,0.0026639920947739582
-2.3705357142857144,0.0008345318316382355,0.0026591456380781454
-2.3590561224489797,0.0007841739546771891,0.002654382411462229
-2.347576530612245,0.0007339486721909732,0.0026496987694686947
-2.33609693877551,0.0006839073278326601,0.0026450903941505097
-2.324617346938776,0.0006341531968015082,0.0026405526355776695
-2.313137755102041,0.0005847109634499391,0.0026360824719591463
-2.3016581632653064,0.0005354777209045509,0.002631679136077833
-2.2901785714285716,0.0004863357829728218,0.0026273412548337184
-2.278698979591837,0.000437286673777205,0.00262306642527451
-2.267219387755102,0.00038842919002256905,0.002618852949681593
-2.2557397959183674,0.0003398271336158481,0.0026146996862233813
-2.244260204081633,0.0002914720711864075,0.0026106058631141316
-2.232780612244898,0.00024331103014664916,0.002606571201298856
-2.2213010204081636,0.0001952948508951254,0.002602595052181319
-2.2098214285714284,0.00014739137795309216,0.0025986764405828483
-2.198341836734694,9.960792048036181e-05,0.002594814025152043
-2.1868622448979593,5.194250087556765e-05,0.0025910058699875416
-2.1753826530612246,4.427113336974479e-06,0.0025872493895416427
-2.16390306122449,-4.293571588864723e-05,0.0025835425511533754
-2.1524234693877555,-9.019135773720615e-05,0.0025798842219784098
-2.1409438775510203,-0.00013739956258515334,0.0025762730328171227
-2.129464285714286,-0.00018458130976405413,0.0025727075653468306
-2.1179846938775513,-0.0002316966546785797,0.002569186560247006
-2.1065051020408165,-0.0002786859378910691,0.0025657086463132814
-2.095025510204082,-0.0003255090375902447,0.0025622730439455008
-2.083545918367347,-0.0003722074183447127,0.002558880076630338
-2.0720663265306123,-0.00041885808490575157,0.00255552975591894
-2.0605867346938775,-0.00046549511295520803,0.0025522212914919047
-2.0491071428571432,-0.0005120888988091073,0.002548953887220162
-2.0376275510204085,-0.0005586072909642937,0.0025457266756630146
-2.0261479591836737,-0.0006050226174327749,0.0025425383170919473
-2.014668367346939,-0.000651354622084556,0.0025393878840739405
-2.0031887755102042,-0.0006976666694856277,0.002536274940747524
-1.9917091836734695,-0.0007440055999698997,0.0025331982154227586
-1.9802295918367347,-0.0007903660555465531,0.00253015615728653
-1.9687500000000002,-0.0008367001401404504,0.0025271476644112153
-1.9572704081632655,-0.0008829951092089687,0.0025241719674113086
-1.9457908163265307,-0.0009292426642295676,0.0025212284662954024
-1.934311224489796,-0.0009754519632523006,0.0025183168543648536
-1.9228316326530612,-0.0010216583148831384,0.002515437194025861
-1.9113520408163267,-0.0010678758274943563,0.0025125890735420765
-1.899872448979592,-0.0011141030976407971,0.002509771894231313
-1.8883928571428574,-0.0011603372068218442,0.0025069855613387053
-1.8769132653061225,-0.0012065859859516262,0.0025042297324757022
-1.865433673469388,-0.001252837124228932,0.002501503466135159
-1.853954081632653,-0.0012990841831217448,0.002498806151060912
-1.8424744897959184,-0.0013453581862815228,0.002496137519680932
-1.830994897959184,-0.0013917003274400437,0.002493496857242412
-1.8195153061224492,-0.001438126945877126,0.0024908833010642193
-1.8080357142857144,-0.0014846241620861812,0.0024882960644818583
-1.7965561224489794,-0.0015311752579563864,0.0024857343326280357
-1.785076530612245,-0.0015777497859100216,0.0024831973806034822
-1.7735969387755104,-0.0016243454450078174,0.00248068499043655
-1.7621173469387756,-0.0016710031205211687,0.0024781974278990887
-1.750637755102041,-0.0017177665628118097,0.002475734660874273
-1.7391581632653064,-0.0017646445176987768,0.0024732962202791502
-1.7276785714285714,-0.001811615257073655,0.0024708816757209747
-1.7161989795918369,-0.001858672297709902,0.0024684908479183044
-1.7047193877551021,-0.001905802538806367,0.0024661232722613586
-1.6932397959183676,-0.0019530126120092986,0.002463778576399519
-1.6817602040816328,-0.0020003439311467195,0.0024614569533610493
-1.6702806122448979,-0.00204784254559795,0.002459158107139277
-1.6588010204081634,-0.0020955219623243204,0.0024568811579104557
-1.6473214285714286,-0.002143354599871604,0.002454625379316082
-1.635841836734694,-0.002191328248816454,0.002452390275175057
-1.624362244897959,-0.0022394394507823144,0.002450175377577273
-1.6128826530612246,-0.0022876957161349484,0.0024479804551724793
-1.6014030612244898,-0.0023361252683634114,0.002445805608088803
-1.589923469387755,-0.002384759565174667,0.0024436507994225784
-1.5784438775510206,-0.002433605826496531,0.0024415156736794083
-1.566964285714286,-0.002482654196812981,0.0024393999461582885
-1.555484693877551,-0.0025319062752993684,0.0024373035508390263
-1.5440051020408165,-0.0025813829728672457,0.0024352264869306334
-1.5325255102040816,-0.002631092382894806,0.0024331684988622734
-1.521045918367347,-0.0026810395324350527,0.002431129276171292
-1.5095663265306125,-0.0027312447566605258,0.002429108794459813
-1.4980867346938775,-0.0027817344589910844,0.0024271068493393545
-1.486607142857143,-0.0028325257678551694,0.0024251229641171178
-1.475127551020408,-0.0028836196685861756,0.0024231567565687773
-1.4636479591836735,-0.002935026025469599,0.0024212079765240316
-1.4521683673469388,-0.002986750100375135,0.0024192762664701013
-1.4406887755102042,-0.0030387866533526185,0.002417361231049538
-1.4292091836734695,-0.003091144808196638,0.0024154628338905475
-1.4177295918367347,-0.003143854287826151,0.0024135812422733803
-1.40625,-0.0031969388350786047,0.0024117163152385813
-1.3947704081632653,-0.0032504141757224527,0.0024098679344516714
-1.3832908163265307,-0.003304294575513403,0.002408036170924248
-1.371811224489796,-0.0033585953974070142,0.0024062208773553188
-1.3603316326530612,-0.0034133130549520514,0.002404421700200679
-1.3488520408163265,-0.0034684414546962174,0.0024026384393950034
-1.3373724489795917,-0.003524002455955164,0.002400871162649563
-1.3258928571428572,-0.0035800320031252717,0.002399119869937082
-1.3144132653061227,-0.003636562488820411,0.0023973843894905013
-1.3029336734693877,-0.0036936070393938526,0.002395664443004907
-1.2914540816326532,-0.00375116683184266,0.0023939596499879647
