x_m,Cp_near_wall,Cf,tau_x_Pa
-0.8990426829268293,0.0,-0.0051593407182440616,-3.78314075473
-0.8971280487804878,0.0,-0.005637056143471522,-4.13343060629
-0.8952134146341464,-4.717952522405636e-05,-0.005679932031985904,-4.16486980174
-0.893298780487805,-4.717952522405636e-05,-0.00540829701156683,-3.96569057085
-0.8913841463414635,-4.717952522405636e-05,-0.005042493885910941,-3.69746158803
-0.8894695121951219,-9.431217838377631e-05,-0.004684322504089611,-3.43482866151
-0.8875548780487805,-9.431217838377631e-05,-0.00436759794945998,-3.20258705622
-0.8856402439024391,-0.00014133731428932005,-0.004106238500478343,-3.01094249598
-0.8837256097560976,2.170039769858998e-05,-0.0039003360222458457,-2.85996234184
-0.8818109756097561,2.170039769858998e-05,-0.003742947101555313,-2.74455526316
-0.8798963414634147,-0.00018814691530348555,-0.0036247829462244317,-2.65791015554
-0.8779817073170733,-0.00018814691530348555,-0.0035360957045142884,-2.59287930434
-0.8760670731707317,-0.00018814691530348555,-0.0034681489022386994,-2.54305659813
-0.8741524390243902,-0.0002347911292098795,-0.0034144320749583536,-2.5036681705
-0.8722378048780488,-0.0002347911292098795,-0.003370184489059481,-2.47122316354
-0.8703231707317074,-0.0002814477456662579,-0.0033321275545593956,-2.44331751672
-0.8684085365853659,-0.0002814477456662579,-0.003298206943726001,-2.41844487266
-0.8664939024390244,-0.0002814477456662579,-0.003267025359827783,-2.39558064886
-0.864579268292683,-0.00032810095422356047,-0.003237674791564525,-2.3740590365
-0.8626646341463415,-0.00032810095422356047,-0.0032096753208989163,-2.35352813064
-0.86075,-0.000374688226974663,-0.0031827590225029165,-2.33379147222
-0.8588353658536585,-0.000374688226974663,-0.0031567577270969864,-2.31472574935
-0.8569207317073171,-0.000374688226974663,-0.0031316039142978516,-2.296281452
-0.8550060975609757,-0.00042121566390419585,-0.003107269952533922,-2.27843831903
-0.8530914634146342,-0.00042121566390419585,-0.0030836971765013928,-2.26115333349
-0.8511768292682926,-0.00046766101449924595,-0.0030608147482102197,-2.24437455268
-0.8492621951219512,-0.00046766101449924595,-0.0030471179403363468,-2.23433122449
-0.8473475609756098,-0.00046766101449924595,-0.003034274489257228,-2.22491362913
-0.8454329268292683,-0.0005139640471261966,-0.003021250932022112,-2.21536396904
-0.8435182926829268,-0.0005139640471261966,-0.003008217524167741,-2.20580708588
-0.8416036585365854,-0.0005602518564987798,-0.002995315372994999,-2.19634644806
-0.839689024390244,-0.0005602518564987798,-0.002982630220501445,-2.1870449268
-0.8377743902439024,-0.0005602518564987798,-0.0029702229139166774,-2.17794713897
-0.8358597560975609,-0.00060664175501067,-0.00295813757258164,-2.16908543554
-0.8339451219512195,-0.00060664175501067,-0.0029463839380956696,-2.16046695964
-0.8320304878048781,-0.000653028184920488,-0.0029349496125728844,-2.15208262039
-0.8301158536585367,-0.000653028184920488,-0.0029238264637465126,-2.14392645472
-0.828201219512195,-0.000653028184920488,-0.0029130107488539196,-2.13599571821
-0.8262865853658536,-0.0006993856282999015,-0.0029024946533735283,-2.12828468078
-0.8243719512195122,-0.0006993856282999015,-0.0028922729593643727,-2.12078951632
-0.8224573170731708,-0.0007457054695053432,-0.002882343629255905,-2.11350873076
-0.8205426829268293,-0.0007457054695053432,-0.0028726997462975297,-2.10643725232
-0.8186280487804878,-0.0007457054695053432,-0.002863327155751605,-2.09956470189
-0.8167134146341464,-0.0007919819227045976,-0.002854213658147411,-2.09288213408
-0.814798780487805,-0.0007919819227045976,-0.0028453531824638033,-2.08638509725
-0.8128841463414634,-0.0008382058367160573,-0.0028367380822368034,-2.08006798455
-0.8109695121951219,-0.0008382058367160573,-0.0028283557949596353,-2.07392158439
-0.8090548780487805,-0.0008382058367160573,-0.002820190970903246,-2.06793464142
-0.8071402439024391,-0.0008844187264810949,-0.0028122273467342095,-2.06209523038
-0.8052256097560976,-0.0008844187264810949,-0.002804450440573302,-2.05639273228
-0.8033109756097561,-0.0009306920599159507,-0.002796849516072391,-2.05081927458
-0.8013963414634147,-0.0009306920599159507,-0.0027894162008454022,-2.04536871814
-0.7994817073170732,-0.0009306920599159507,-0.0027821442495811516,-2.04003648352
-0.7975670731707317,-0.000976948486929271,-0.002775027790410093,-2.03481826511
-0.7956524390243902,-0.000976948486929271,-0.002768061934128458,-2.02971047785
-0.7937378048780488,-0.001023186460821984,-0.002761245011274983,-2.02471189759
-0.7918231707317074,-0.001023186460821984,-0.0027545751336530465,-2.01982113979
-0.7899085365853659,-0.001023186460821984,-0.0027480478191447646,-2.01503491789
-0.7879939024390243,-0.0010694827457939204,-0.0027416580300452563,-2.01034953794
-0.7860792682926829,-0.0010694827457939204,-0.0027354013449653975,-2.00576175791
-0.7841646341463415,-0.0011157959036083064,-0.0027292740046136396,-2.00126882126
-0.78225,-0.0011157959036083064,-0.0027232716500752456,-1.99686753177
-0.7803353658536585,-0.0011157959036083064,-0.0027173874938715504,-1.99255291245
-0.7784207317073171,-0.0011620608119018512,-0.002711613952831224,-1.98831940286
-0.7765060975609757,-0.0011620608119018512,-0.0027059446026071222,-1.98416229228
-0.7745914634146341,-0.001208359653307993,-0.0027003742006421996,-1.98007773655
-0.7726768292682926,-0.001208359653307993,-0.0026949002598121675,-1.97606391196
-0.7707621951219512,-0.001208359653307993,-0.0026895221178694336,-1.97212033291
-0.7688475609756098,-0.0012547632392580837,-0.002684237761368572,-1.96824552302
-0.7669329268292684,-0.0012547632392580837,-0.002679044691975089,-1.96443765036
-0.7650182926829268,-0.0013012395667615186,-0.002673941042208055,-1.96069534558
-0.7631036585365853,-0.0010016928538129817,-0.0026689244379862267,-1.95701686786
-0.7611890243902439,-0.0010016928538129817,-0.0026639931043742297,-1.95340091571
-0.7592743902439025,-0.0013477992979954302,-0.0026591466990244254,-1.9498472381
-0.7573597560975609,-0.0013477992979954302,-0.002654383526741178,-1.94635459201
