x_m,y_m,z_m,Ux_ms,Uy_ms,Uz_ms,p_m2s2,k_m2s2,omega_s-1,nut_m2s-1
-0.8991961201387142,0.0009677125166330001,2.3583147376185715e-19,23.414763541028574,0.005592169646453857,6.2187503504e-24,16.618396193357142,5.577374224115714,29025.638010694278,0.00037041417949374285
-0.8991954639752857,0.0030264365793628567,-2.0644919305771428e-20,29.604788552785717,0.021841053974814287,7.519566685114281e-25,16.631024636014285,4.371237214104285,5642.012859717142,0.0007465026943282856
-0.8991948526296,0.004944543230566,-1.5993132328366e-19,32.66321251082,0.04411543320368,-1.2557266804176002e-23,16.6404737947,2.365012071246,3902.157973246,0.0005324681375144
-0.8991942461000001,0.006847539613173334,4.0838862634704994e-20,34.512742854483335,0.06427314737038332,6.630750920346833e-24,16.644857560233334,0.5796519708280001,2070.4411361236666,0.00025576850072516665
-0.8991935953394,0.008889312487698,-1.3560486157988004e-19,34.91625990004,0.06937931291556002,-1.7240084259184002e-23,16.64688689466,0.1404063032504,411.5273913014,0.00036387524525659996
-0.8991929606442,0.01088067852248,1.0155893981734e-19,34.90754093542,0.06913366653016,1.8316367335324e-23,16.64863021772,0.1312926151316,250.9482082764,0.000523540830319
-0.8991923531720001,0.012786633565999999,-1.17283797658285e-19,34.890120712425,0.06871877851937501,1.4214601104385004e-23,16.65030607225,0.1307862417635,242.35530636674997,0.000539648164747
-0.89919178145,0.014580420640725001,2.0745887734075e-19,34.87473062625,0.068301401858975,3.455842451485e-23,16.651873404824997,0.13065227949075,241.25167618325003,0.00054156059075575
-0.89919117873475,0.0164714498715,8.868259435749999e-21,34.860871563749996,0.06786479060322499,1.0622809938824998e-23,16.653512777775,0.13058966611550002,240.24951278974999,0.00054355930905125
-0.8991905433460001,0.018464992807625,-4.501390625524999e-20,34.848571301650004,0.06741315868102501,3.0481896257609997e-23,16.65522659785,0.13057881093825,239.17526031975,0.0005459553276735
-0.8991899598456666,0.020295735056333333,4.2643697033643333e-19,34.83885517426666,0.06700477795186667,-3.835371654463334e-23,16.656787977666667,0.13058985299433334,238.3238593706667,0.0005479515601046667
-0.89918934741325,0.02221725138185,-1.2957010758639998e-19,34.82998497955,0.066581234271225,-3.347426639155e-23,16.6584131735,0.1306048657455,237.64060684650002,0.00054959022586075
-0.8991887074369999,0.024225188321933332,-4.911819878170001e-20,34.8217508818,0.06614235126826666,-2.0424711050666666e-23,16.660098025599996,0.13061663214366667,237.11585278766665,0.0005508558644416666
-0.8991881342416667,0.026023597296366666,-1.93569793078e-19,34.815156611333336,0.06575190688343334,3.1665980893833335e-23,16.661594569166667,0.13062242703500002,236.78268401433334,0.0005516553808733334
-0.8991875378963333,0.02789464118566667,7.4095306139e-20,34.80892113066667,0.0653476945946,-2.5879776557933335e-23,16.663139339500002,0.13062467296333333,236.53151804266668,0.0005522506354326667
-0.8991869174653333,0.02984125359986667,-1.8996121920813332e-19,34.8030013823,0.06492888503386667,6.198576194948999e-23,16.664733289833332,0.130624185967,236.34262458566664,0.0005526899378853334
-0.8991862719763333,0.031866486633166664,1.129522591220333e-19,34.79736229713333,0.06449466667136666,7.451364940583334e-23,16.666377325333332,0.130621791595,236.19995275433334,0.0005530136336100001
-0.8991856004166667,0.03397351564883333,-5.1235510294333326e-20,34.791975077333326,0.06404423631206667,6.115546067593334e-23,16.6680722943,0.130618160127,236.09128519700002,0.0005532527871846667
-0.8991850207595,0.0357921999849,1.10275950512e-20,34.7876558574,0.06365632365295,-1.2164102705400001e-23,16.6695230312,0.13061455769,236.01969403150002,0.0005534053357944999
-0.899184420338,0.0376760325343,3.8410418327873333e-19,34.7834927708,0.0632553077981,-1.3825102724266667e-23,16.671012516666668,0.13061062038399998,235.96245907933334,0.0005535228844196666
-0.8991838011385,0.0396187807375,7.489540850385e-20,34.77945660755,0.06284238443234999,1.3680134517985e-23,16.67253625295,0.1306065255485,235.91502331549998,0.0005536168229280001
-0.8991831597586666,0.041631121322466665,-2.0688910084333337e-20,34.77555575223334,0.0624153387776,-9.112374221666666e-24,16.674099476133335,0.13060235813266666,235.87639859166666,0.0005536898102503334
-0.89918249832,0.04370639656755,-4.2605226237850004e-20,34.7717656537,0.061975478586,7.445469243999999e-25,16.67569750375,0.1305981933165,235.8438622315,0.0005537485357565
-0.899181952638,0.0454184815045,2.604358118995e-19,34.7688172261,0.061613002858850005,-2.1183847528999995e-23,16.6770039149,0.130594896335,235.821795512,0.0005537863711684999
-0.899181392361,0.0471763605214,2.143072397115e-19,34.7659366205,0.06124115851085,6.52260635015e-23,16.67833440945,0.130591648854,235.80250305250001,0.000553817907765
-0.899180817098,0.0489812584979,-5.830461388574e-19,34.7631206753,0.060859679280449996,-4.6105936090000003e-23,16.679689039350002,0.130588462683,235.78554141749999,0.000553844234562
-0.8991802264475,0.05083443307595,1.3605688006050002e-20,34.76036645915,0.060468293800500006,8.737224767585e-23,16.681067826350002,0.130585345847,235.770545796,0.0005538662406855
-0.8991796199995,0.0527371755365,4.055474336775e-19,34.75767124775,0.06006672537895,6.974758991595e-23,16.682470760050002,0.130582303502,235.757214946,0.000553884654368
-0.8991789973294999,0.054690811699,7.19307515613e-20,34.7550325048,0.059654691804900004,6.179231248069999e-23,16.6838977952,0.1305793386495,235.745299219,0.0005539000739040001
-0.8991783580055,0.0566967028454,-4.735499176955e-19,34.75244786505,0.059231905170900004,1.0164469644555e-22,16.68534885,0.130576452678,235.734590993,0.0005539129922990001
-0.8991777015805,0.0587562466686,7.96406968926e-20,34.749915120400004,0.058798071713600006,-1.382069560211e-22,16.68682380285,0.130573645779,235.724917012,0.0005539238169625
-0.899177027598,0.0608708782463,7.21754275424e-20,34.7474322076,0.0583528916676,2.0838285992135002e-23,16.6883224905,0.130570917269,235.7161322145,0.0005539328854875
-0.8991763355875,0.06304207104105,3.815079975775e-19,34.744997197800004,0.0578960591335,-1.12863824739e-22,16.68984470505,0.13056826583699999,235.7081147605,0.0005539404783459999
-0.89917580505,0.0647066415525,5.06490507707e-20,34.7431998868,0.057545981565,-1.69673694105e-22,16.6910009334,0.130566324495,235.702524211,0.000553945380655
-0.8991752627130001,0.06640823296265,-6.586047004625e-19,34.741430587400004,0.05718827734285,1.63285734004e-22,16.69217156785,0.13056442928849998,235.6973072165,0.0005539496010065
-0.899174523497,0.0687275364379,6.749738566698e-19,34.73910769735,0.0567009339661,-1.132521314478e-22,16.69375137275,0.130561962257,235.6907930535,0.0005539544441585001
-0.899173956768,0.0705056577459,8.10288233772e-19,34.7373919475,0.0563274692608,-4.32834513914e-24,16.6949502648,0.130560155836,235.686207097,0.000553957558419
