x_m,x_over_c,y_m,y_wall_m,dy_m,pressure,Cp
-1.350000023841858,-3.214285771052043,0.0,0.0,0.0,104452.2265625,4.164233559101065
-1.3477879762649536,-3.2090189911070324,0.0,0.0,0.0,103883.9921875,3.3892915364501794
-1.3477809429168701,-3.209002245040167,0.002489730715751648,0.0,0.002489730715751648,102892.2890625,2.036834769721302
-1.3455758094787598,-3.2037519273303805,0.0,0.0,0.0,102276.0390625,1.1964103912091635
-1.3455687761306763,-3.203735181263515,0.002489730715751648,0.0,0.002489730715751648,102222.625,1.1235657984621112
-1.3455618619918823,-3.2037187190282914,0.004979461431503296,0.0,0.004979461431503296,101332.3359375,-0.09058532859300757
-1.343363642692566,-3.1984848635537286,0.0,0.0,0.0,101252.203125,-0.19986819941449596
-1.3433496952056885,-3.1984516552516395,0.004979461431503296,0.0,0.004979461431503296,100561.265625,-1.1421492850586836
-1.343342661857605,-3.198434909184774,0.007469192147254944,0.0,0.007469192147254944,99772.3671875,-2.2180267358418635
-1.3418563604354858,-3.1948960962749666,0.0016434586141258478,0.0,0.0016434586141258478,101217.3359375,-0.24741908685490765
-1.3418493270874023,-3.194879350208101,0.004133189562708139,0.0,0.004133189562708139,100695.6640625,-0.9588604845573612
-1.3418424129486084,-3.194862887972877,0.006622920278459787,0.0,0.006622920278459787,101606.0390625,0.2826832778572239
-1.341151475906372,-3.1932177997770763,0.0,0.0,0.0,101252.8046875,-0.1990478054344575
-1.3403490781784058,-3.191307328996204,0.0032869172282516956,0.0,0.0032869172282516956,101182.453125,-0.2949912832298658
-1.3403420448303223,-3.191290582929339,0.005776647944003344,0.0,0.005776647944003344,101554.609375,0.21254491979757117
-1.3396443128585815,-3.189629316329956,0.0016434586141258478,0.0,0.0016434586141258478,101217.9296875,-0.2466093473421424
-1.3389394283294678,-3.187951019832066,0.0,0.0,0.0,101253.40625,-0.19822741145441902
-1.3388417959213257,-3.187718561717442,0.0049303756095469,0.0,0.0049303756095469,101147.5546875,-0.3425847885393704
-1.338336706161499,-3.1865159670511884,0.006981829181313515,0.0,0.006981829181313515,101383.125,-0.02132063684975944
-1.3381370306015015,-3.186040549051194,0.0032869172282516956,0.0,0.0032869172282516956,101183.0546875,-0.2941708892498273
-1.3374321460723877,-3.184362252553304,0.0016434586141258478,0.0,0.0016434586141258478,101218.5390625,-0.24577829889483072
-1.3370481729507446,-3.1834480308351063,0.005321859382092953,0.0,0.005321859382092953,101709.734375,0.42410002197476465
-1.336727261543274,-3.1826839560554143,0.0,0.0,0.0,102483.453125,1.4792758428460646
-1.336543083190918,-3.1822454361688526,0.00737331248819828,0.0,0.00737331248819828,101247.953125,-0.2056642296111314
-1.3363434076309204,-3.181770018168858,0.003678400767967105,0.0,0.003678400767967105,101764.0546875,0.49818053292551134
-1.3356385231018066,-3.1800917216709683,0.002034942153841257,0.0,0.002034942153841257,102126.015625,0.9918126561613873
-1.3352545499801636,-3.1791774999527704,0.005713343154639006,0.0,0.005713343154639006,101274.6796875,-0.16921529706942215
-1.3345497846603394,-3.1774994872865223,0.004069884307682514,0.0,0.004069884307682514,101768.5625,0.5043281605421632
-1.3345152139663696,-3.177417176110404,0.0,0.0,0.0,101812.96875,0.564888152523185
-1.3334609270095825,-3.1749069690704346,0.006104826461523771,0.0,0.006104826461523771,101224.65625,-0.23743585101989403
-1.3334264755249023,-3.174824941725958,0.002034942153841257,0.0,0.002034942153841257,101455.5234375,0.0774143113712343
-1.3323376178741455,-3.1722324235098704,0.004069884307682514,0.0,0.004069884307682514,101098.078125,-0.4100595297807164
-1.3323030471801758,-3.172150112333752,0.0,0.0,0.0,101142.484375,-0.34949953779969467
-1.3312596082687378,-3.1696657339731855,0.006212001666426659,0.0,0.006212001666426659,101253.5859375,-0.1979823587071348
-1.3312143087387085,-3.169557877949306,0.002034942153841257,0.0,0.002034942153841257,100785.046875,-0.8369627244843721
-1.3301361799240112,-3.166990904580979,0.0041770595125854015,0.0,0.0041770595125854015,101483.4140625,0.11545075953665437
-1.330090880393982,-3.1668830485571,0.0,0.0,0.0,102566.0546875,1.5919255253258928
-1.3290581703186035,-3.1644242150442943,0.006319176405668259,0.0,0.006319176405668259,101282.5078125,-0.1585395208616488
-1.3290128707885742,-3.164316359020415,0.002142117125913501,0.0,0.002142117125913501,102095.6484375,0.9503987418703542
-1.3279348611831665,-3.1617496694837297,0.004284234251827002,0.0,0.004284234251827002,101625.234375,0.3088613039475424
-1.3278788328170776,-3.16161626861209,0.0,0.0,0.0,101889.1328125,0.6687585539698742
-1.3268567323684692,-3.159182696115403,0.006426351144909859,0.0,0.006426351144909859,101311.421875,-0.11910733748343601
-1.3268007040023804,-3.1590492952437628,0.002142117125913501,0.0,0.002142117125913501,101418.71875,0.02722111604706235
-1.3257226943969727,-3.156482605707078,0.004284234251827002,0.0,0.004284234251827002,100948.3046875,-0.6143163218757495
-1.3256666660308838,-3.1563492048354376,0.0,0.0,0.0,101212.1953125,-0.25442972632069094
-1.3245885372161865,-3.153782231467111,0.002142117125913501,0.0,0.002142117125913501,100741.7890625,-0.8959565097762295
-1.3245710134506226,-3.153740508215768,0.006384784355759621,0.0,0.006384784355759621,101508.6953125,0.14992861563281665
-1.32345449924469,-3.1510821410587857,0.0,0.0,0.0,102499.859375,1.5016502241198413
-1.323436975479126,-3.151040417807443,0.0042426674626767635,0.0,0.0042426674626767635,101378.7734375,-0.02725517512094683
-1.3223028182983398,-3.148340043567476,0.0021005503367632627,0.0,0.0021005503367632627,102064.2734375,0.907610401301075
-1.3222852945327759,-3.148298320316133,0.006343217566609383,0.0,0.006343217566609383,101115.1484375,-0.3867795187887156
-1.3212424516677856,-3.1458153611137756,0.0,0.0,0.0,101854.8984375,0.6220706783785939
-1.3211512565612793,-3.145598229907808,0.0042011006735265255,0.0,0.0042011006735265255,101628.6796875,0.3135599240150355
-1.3200907707214355,-3.143073263622466,0.0021005503367632627,0.0,0.0021005503367632627,101419.3125,0.028030855559827594
-1.3199995756149292,-3.1428561324164983,0.006301650777459145,0.0,0.006301650777459145,101275.03125,-0.16873584604212694
-1.3190304040908813,-3.140548581168765,0.0,0.0,0.0,101209.9375,-0.25750886736265355
-1.318939208984375,-3.140331449962798,0.0042011006735265255,0.0,0.0042011006735265255,100983.71875,-0.5660196217262119
-1.3178787231445312,-3.1378064836774553,0.0021005503367632627,0.0,0.0021005503367632627,100774.34375,-0.851559344648693
-1.3177629709243774,-3.1375308831532798,0.0063085416331887245,0.0,0.0063085416331887245,101291.8359375,-0.14581808693741585
-1.3168182373046875,-3.135281517392113,0.0,0.0,0.0,102575.0234375,1.6041568537555573
-1.3167024850845337,-3.1350059168679376,0.004207991529256105,0.0,0.004207991529256105,101386.25,-0.01705884994046868
-1.3156421184539795,-3.132481234414237,0.0021074411924928427,0.0,0.0021074411924928427,102068.6171875,0.9135342851049891
-1.3155263662338257,-3.1322056338900612,0.0063154324889183044,0.0,0.0063154324889183044,101308.640625,-0.12290032783270478
-1.3146061897277832,-3.130014737447103,0.0,0.0,0.0,101958.9921875,0.7640308003270692
-1.3144659996032715,-3.129680951436361,0.004214882384985685,0.0,0.004214882384985685,101562.1953125,0.22289040751987452
-1.3134299516677856,-3.127214170637585,0.0021074411924928427,0.0,0.0021074411924928427,101452.578125,0.07339757720922777
-1.313289761543274,-3.1268803846268427,0.006322323344647884,0.0,0.006322323344647884,101396.8984375,-0.0025368110470604032
-1.3123940229415894,-3.124747673670451,0.0,0.0,0.0,101342.9609375,-0.07609525310141897
-1.3122538328170776,-3.124413887659709,0.004214882384985685,0.0,0.004214882384985685,100946.1640625,-0.6172356459086136
-1.3114569187164307,-3.122516473134359,0.005977800581604242,0.0,0.005977800581604242,101393.6484375,-0.006969069432722797
-1.3112177848815918,-3.121947106860933,0.0021074411924928427,0.0,0.0021074411924928427,100836.5390625,-0.7667391306865335
-1.3104209899902344,-3.1200499761672247,0.0038703593891113997,0.0,0.0038703593891113997,101142.5,-0.3494782288651482
-1.3101818561553955,-3.119480609893799,0.0,0.0,0.0,100726.9140625,-0.9162426154644535
-1.3096240758895874,-3.118152561641875,0.005633277352899313,0.0,0.005633277352899313,101390.3828125,-0.011422636752931644
-1.3093849420547485,-3.117583195368449,0.0017629180802032351,0.0,0.0017629180802032351,101704.3515625,0.4167590940235113
-1.3085881471633911,-3.115686064674741,0.0035258361604064703,0.0,0.0035258361604064703,101483.5703125,0.1156638488821189
-1.3079696893692017,-3.114213546117147,0.0,0.0,0.0,101206.3515625,-0.2623992678410647
-1.3077912330627441,-3.1137886501493908,0.005288754124194384,0.0,0.005288754124194384,101387.1015625,-0.015897513007686947
-1.3071728944778442,-3.1123164154234386,0.0017629180802032351,0.0,0.0017629180802032351,100985.578125,-0.5634838585151839
-1.3063759803771973,-3.110419000898089,0.0035258361604064703,0.0,0.0035258361604064703,101974.8359375,0.7856380599571733
-1.3062033653259277,-3.1100080126807805,0.006118898745626211,0.0,0.006118898745626211,101520.671875,0.1662619139626735
-1.3057576417922974,-3.108946766172137,0.0,0.0,0.0,100487.578125,-1.2426422203797598
-1.3049607276916504,-3.1070493516467868,0.0017629180802032351,0.0,0.0017629180802032351,101426.9140625,0.038397652216677375
-1.3047881126403809,-3.1066383634294783,0.004355980549007654,0.0,0.004355980549007654,101902.0703125,0.686402351774338
-1.3046153783798218,-3.106227091380528,0.006949042901396751,0.0,0.006949042901396751,101558.4921875,0.21784019003236496
-1.3035454750061035,-3.1036797023954845,0.0,0.0,0.0,101936.453125,0.7332926622438095
-1.303372859954834,-3.103268714178176,0.002593062352389097,0.0,0.002593062352389097,101496.09375,0.13274295992110163
-1.303200125694275,-3.102857442129226,0.005186124704778194,0.0,0.005186124704778194,101055.75,-0.4677854334670598
-1.3019124269485474,-3.099791492734637,0.0015250321011990309,0.0,0.0015250321011990309,101248.453125,-0.2049823437056449
-1.3017396926879883,-3.0993802206856866,0.0041180942207574844,0.0,0.0041180942207574844,100808.09375,-0.8055320460283527
