x_m,x_over_c,y_m,y_wall_m,dy_m,pressure,Cp
-1.350000023841858,-3.214285771052043,0.0,0.0,0.0,105735.453125,5.911196270567613
-1.3477879762649536,-3.2090189911070324,0.0,0.0,0.0,104414.1953125,4.109302110852206
-1.3477809429168701,-3.209002245040167,0.002489730715751648,0.0,0.002489730715751648,103660.484375,3.08141238066764
-1.3455758094787598,-3.2037519273303805,0.0,0.0,0.0,102477.7421875,1.468421925706545
-1.3455687761306763,-3.203735181263515,0.002489730715751648,0.0,0.002489730715751648,102438.875,1.415415951022241
-1.3455618619918823,-3.2037187190282914,0.004979461431503296,0.0,0.004979461431503296,101585.5,0.2516071818331195
-1.343363642692566,-3.1984848635537286,0.0,0.0,0.0,101199.484375,-0.27483004613702205
-1.3433496952056885,-3.1984516552516395,0.004979461431503296,0.0,0.004979461431503296,100463.546875,-1.2784808632749967
-1.343342661857605,-3.198434909184774,0.007469192147254944,0.0,0.007469192147254944,99510.515625,-2.5781980170014007
-1.3418563604354858,-3.1948960962749666,0.0016434586141258478,0.0,0.0016434586141258478,101184.75,-0.294924371414328
-1.3418493270874023,-3.194879350208101,0.004133189562708139,0.0,0.004133189562708139,100658.828125,-1.0121617993134169
-1.3418424129486084,-3.194862887972877,0.006622920278459787,0.0,0.006622920278459787,101585.1796875,0.25117034867491717
-1.341151475906372,-3.1932177997770763,0.0,0.0,0.0,101221.75,-0.24446481440832535
-1.3403490781784058,-3.191307328996204,0.0032869172282516956,0.0,0.0032869172282516956,101170.0,-0.3150400056261804
-1.3403420448303223,-3.191290582929339,0.005776647944003344,0.0,0.005776647944003344,101547.3125,0.19952814580158637
-1.3396443128585815,-3.189629316329956,0.0016434586141258478,0.0,0.0016434586141258478,101207.0078125,-0.2645697941529045
-1.3389394283294678,-3.187951019832066,0.0,0.0,0.0,101244.0078125,-0.2141102371469019
-1.3388417959213257,-3.187718561717442,0.0049303756095469,0.0,0.0049303756095469,101155.2578125,-0.33514498537075954
-1.338336706161499,-3.1865159670511884,0.006981829181313515,0.0,0.006981829181313515,101386.7109375,-0.019495737934139185
-1.3381370306015015,-3.186040549051194,0.0032869172282516956,0.0,0.0032869172282516956,101192.2734375,-0.28466411943021047
-1.3374321460723877,-3.184362252553304,0.0016434586141258478,0.0,0.0016434586141258478,101229.2734375,-0.23420456242420784
-1.3370481729507446,-3.1834480308351063,0.005321859382092953,0.0,0.005321859382092953,101711.78125,0.42382599083755923
-1.336727261543274,-3.1826839560554143,0.0,0.0,0.0,102485.2265625,1.4786289053542963
-1.336543083190918,-3.1822454361688526,0.00737331248819828,0.0,0.00737331248819828,101249.65625,-0.20640705730835882
-1.3363434076309204,-3.181770018168858,0.003678400767967105,0.0,0.003678400767967105,101766.3203125,0.4982048268719563
-1.3356385231018066,-3.1800917216709683,0.002034942153841257,0.0,0.002034942153841257,102126.9921875,0.9900789630077497
-1.3352545499801636,-3.1791774999527704,0.005713343154639006,0.0,0.005713343154639006,101274.890625,-0.1719931280158359
-1.3345497846603394,-3.1774994872865223,0.004069884307682514,0.0,0.004069884307682514,101768.7421875,0.5015077117266566
-1.3345152139663696,-3.177417176110404,0.0,0.0,0.0,101814.0390625,0.5632823129768262
-1.3334609270095825,-3.1749069690704346,0.006104826461523771,0.0,0.006104826461523771,101224.3203125,-0.24095949467543368
-1.3334264755249023,-3.174824941725958,0.002034942153841257,0.0,0.002034942153841257,101455.796875,0.07472171616300637
