x_over_c,Cp_exp,Cp_pyfr,cfd_x_over_c,dy_m,dx_over_c,abs_error
-0.80454,-0.0132,-0.5285768387161941,-0.8049149598394122,0.005620842333883047,-0.00037495983941215894,0.5153768387161941
-0.74239,-0.0102,-0.9327220913242371,-0.7415259168261573,0.006047224160283804,0.000864083173842678,0.9225220913242371
-0.67907,-0.0091,0.2995203211608209,-0.6801754945800418,0.003858642652630806,-0.0011054945800418325,0.3086203211608209
-0.61762,-0.0062,0.10231678640066405,-0.6176768314270746,0.0,-5.6831427074688357e-05,0.10851678640066405
-0.55646,-0.0012,1.2917175859800767,-0.5572027393749782,0.0019119124626740813,-0.0007427393749782629,1.2929175859800768
-0.49366,0.006,-0.8413600344563164,-0.4943217904794784,0.0014745560474693775,-0.0006617904794783969,0.8473600344563164
-0.46311,0.0088,-0.3953214165299451,-0.46350757280985516,0.0066413539461791515,-0.0003975728098551401,0.4041214165299451
-0.4319,0.0135,-0.46918883813522727,-0.43069986360413687,0.0019157532369717956,0.0012001363958631384,0.4826888381352273
-0.40088,0.0189,0.17391480647674887,-0.4010425437064398,0.003569837659597397,-0.00016254370643981053,0.15501480647674887
-0.36953,0.0263,-0.07709378801320385,-0.3695519197554816,0.005382087081670761,-2.1919755481547565e-05,0.10339378801320386
-0.33927,0.0335,-0.08692786130639228,-0.33898740297272095,0.004134447779506445,0.00028259702727906344,0.12042786130639228
-0.30847,0.0426,-0.8437253261909727,-0.30966922640800476,0.001965039409697056,-0.0011992264080047388,0.8863253261909727
-0.27634,0.0538,-0.0190269413741172,-0.2754089200780505,0.003742067376151681,0.0009310799219494625,0.0728269413741172
-0.2462,0.066,-0.8223950827099725,-0.24636114637056988,0.0018254917813465,-0.00016114637056988124,0.8883950827099725
-0.21497,0.0811,0.15890266208877216,-0.2148411103657314,0.005289941560477018,0.000128889634268603,0.07780266208877215
-0.18383,0.0992,0.15734710986688102,-0.18350696634678615,0.0051386491395533085,0.0003230336532138445,0.05814710986688103
-0.15376,0.1191,-0.2208545149308545,-0.15418470970221929,0.0,-0.00042470970221927806,0.3399545149308545
-0.12212,0.1447,-0.34234740524746093,-0.12258297453324,0.0,-0.0004629745332399987,0.48704740524746093
-0.09025,0.1739,0.6319077366836807,-0.09091496467590332,0.003919101785868406,-0.0006649646759033234,0.4580077366836807
-0.04586,0.2257,-0.6684380306118437,-0.04581353582796596,0.006302993278950453,4.6464172034035855e-05,0.8941380306118437
-0.03151,0.2442,1.2447100763705996,-0.03146726992868242,0.004940642975270748,4.273007131758155e-05,1.0005100763705996
-0.01647,0.2649,1.2179780179820732,-0.0165075318710435,8.210142368625384e-06,-3.7531871043501586e-05,0.9530780179820731
-0.00189,0.2868,0.6531101265574023,-0.002566890214525518,0.0016491933492943645,-0.0006768902145255181,0.3663101265574023
0.01228,0.3039,1.442648769372609,0.012602213592756362,5.110415218016977e-05,0.0003222135927563631,1.138748769372609
0.02711,0.3084,-0.23799755277347662,0.026782220672993434,0.006622699406959939,-0.00032777932700656445,0.5463975527734766
0.04168,0.2965,0.5200891026511644,0.04153956348697345,0.004072048391712219,-0.00014043651302655252,0.22358910265116438
0.05692,0.2586,0.15871088167785408,0.05735458273972784,0.005286640295417826,0.0004345827397278443,0.09988911832214592
0.07094,0.1842,-0.2601055723654224,0.07108040597467195,0.007410747596141945,0.00014040597467195048,0.44430557236542245
0.08573,0.0728,0.720478323126016,0.08628339994521368,0.003994701084076497,0.0005533999452136812,0.647678323126016
0.10021,-0.0623,0.8410655837243981,0.10026693344116211,0.004202730975348467,5.693344116211585e-05,0.9033655837243981
0.11471,-0.1726,5.138821974529575,0.1144300170597576,8.557180902679738e-05,-0.00027998294024240977,5.311421974529575
0.12876,-0.2504,6.381175476456925,0.12847523071936198,6.473260475793607e-05,-0.00028476928063803086,6.631575476456925
0.15859,-0.3869,0.9148371151242213,0.15878994904813312,0.004252158508940375,0.00019994904813311343,1.3017371151242214
0.17271,-0.4647,2.814059833380557,0.17282613331363314,0.004261202215311835,0.00011613331363313772,3.278759833380557
0.18734,-0.5173,-0.4203167967529355,0.18750659766651337,0.0069158290238888614,0.00016659766651336283,0.0969832032470645
0.20189,-0.5604,8.337719228643222,0.20221258912767684,1.269442579021618e-05,0.0003225891276768533,8.898119228643221
0.21721,-0.5963,5.181919294649778,0.21702013909816742,0.0016780975080313114,-0.00018986090183256699,5.778219294649778
0.23077,-0.6202,7.706751022255451,0.2306454238437471,0.0013681124580588802,-0.00012457615625291463,8.326951022255452
0.24591,-0.641,1.4875253855274408,0.24596225647699266,0.004518165363314553,5.225647699266811e-05,2.128525385527441
0.26072,-0.6602,-0.4569148918364699,0.2601909140745799,0.007121699658877805,-0.0005290859254201141,0.20328510816353013
0.2747,-0.6786,1.7068262854122702,0.2747662720226106,0.0041378992428000305,6.627202261061393e-05,2.38542628541227
0.28942,-0.6915,-0.7906873881048492,0.2894517211686997,0.005459399213918172,3.1721168699705427e-05,0.09918738810484917
0.30461,-0.708,7.153134248271308,0.30487193947746644,0.001291245074501332,0.0002619394774664441,7.861134248271308
