n,t,i,rho,rhou,rhov,E
1,0.0,1,-,-,-,-
2,0.0,2,-,-,-,-
3,0.0,3,-,-,-,-
4,0.0,4,259.9445860844188,524435.0284078128,14883.94367869841,75425691.27369298
5,0.0,5,255.66598556150447,508333.34342698334,15183.90215848014,74185131.11898905
6,0.0,6,251.79050703382643,492893.99695754156,15567.105127648594,73061034.34366773
7,0.0,7,248.25835446526986,478088.84113728313,15999.051559722546,72036379.6861709
8,0.0,8,245.0200525287494,463890.8713054441,16473.002771027393,71096229.10600214
9,0.0,9,242.0258213628975,450274.1459466151,16971.606514650546,70227495.07626906
10,0.0,10,239.23965581784626,437213.8316102558,17487.059951448162,69418931.54153693
11,0.0,11,236.6275015850333,424686.09220974357,18008.724216344097,68659642.795444
12,0.0,12,234.15526719924114,412667.9023989973,18530.027990546,67941851.508319
13,0.0,13,231.79815106917235,401137.61271365377,19046.580677220827,67257511.75724286
14,0.0,14,229.53831927688626,390073.8946475807,19554.169439479025,66600585.80517759
15,0.0,15,227.3500917683705,379456.6480471426,20052.039162114434,65965641.98901634
16,0.0,16,225.22438148006358,369266.4896495797,20537.592474680183,65348195.808329724
17,0.0,17,223.15046167767073,359484.89289706835,21006.309128327972,64744582.00333096
18,0.0,18,221.10625767133325,350094.2262831157,21461.795328488966,64151704.62371859
19,0.0,19,219.12238084741017,341077.0709827975,21902.859914099517,63567122.86227486
20,0.0,20,217.1445357253736,332417.5946951163,22325.341364695276,62988887.45638928
21,0.0,21,215.16907294821576,324099.62013038585,22732.347582666443,62415477.34051023
22,0.0,22,213.20600045418306,316108.4687319812,23123.565754626772,61845687.69086129
23,0.0,23,211.252405978253,308429.69661439053,23496.742175673866,61278760.35190826
24,0.0,24,209.30631651247697,301049.5315856128,23860.714836547286,60713948.517300226
25,5e-05,1,-,-,-,-
26,5e-05,2,-,-,-,-
27,5e-05,3,-,-,-,-
28,5e-05,4,206.75124156765213,283168.76714203606,25596.97287954635,59969135.523648426
29,5e-05,5,204.79811656903402,276855.6010181221,25908.933050411368,59402384.26687348
30,5e-05,6,202.85112683304763,270779.70545486786,26193.855105476803,58837543.553375416
31,5e-05,7,200.91068535352377,264930.5314392515,26467.578100941442,58274943.039764345
32,5e-05,8,198.98019100698406,259297.9911772624,26725.85302394891,57714888.17449277
33,5e-05,9,197.0587295209059,253872.43581281553,26978.099003517247,57157736.87339039
34,5e-05,10,195.15017598421312,248644.6281307377,27207.536405765375,56603873.909748316
35,5e-05,11,193.25114267815954,243605.74257785574,27441.9886571356,56053683.481844045
36,5e-05,12,191.36637861639701,238747.36458853976,27658.515773389867,55507575.70151717
37,5e-05,13,189.49956721467257,234061.52204555817,27854.718192067397,54965986.84420991
38,5e-05,14,187.65127566430303,229540.32737759387,28046.011543277258,54429289.46357038
39,5e-05,15,185.8128961937676,225176.68716788187,28243.84144459253,53897826.93651112
40,5e-05,16,184.0006021613542,220963.20809119515,28418.974272965017,53372005.68119167
41,5e-05,17,182.20548657193638,216893.67607460558,28589.65963195013,52852165.897198975
42,5e-05,18,180.43536685348087,212961.50314844406,28739.866911141846,52338783.58345385
43,5e-05,19,178.68709659535668,209160.32802189127,28887.773446061055,51831958.74880281
44,5e-05,20,176.96457222242202,205484.6840978902,29039.87390290601,51332058.0248721
45,5e-05,21,175.26591354145222,201929.10906183056,29174.660149124473,50839326.81528455
46,5e-05,22,173.5916043475949,198488.2193496529,29295.952712283026,50354023.95851974
47,5e-05,23,171.9490521915291,195156.41912264837,29415.74345541921,49876357.94775357
48,5e-05,24,170.34148172728814,191930.7435852656,29533.541019143173,49406458.81236334
49,0.0001,1,-,-,-,-
50,0.0001,2,-,-,-,-
51,0.0001,3,-,-,-,-
52,0.0001,4,168.43430502387665,185285.8277724951,30596.10560869373,48857761.27267042
53,0.0001,5,166.86423154913282,182420.23697837826,30680.91699100804,48416827.49826803
54,0.0001,6,165.3193367292868,179638.62361495625,30776.48633769327,47984443.32592374
55,0.0001,7,163.80170686938897,176936.53600289862,30857.00288314394,47560527.06045071
56,0.0001,8,162.29893724777443,174312.22793025596,30929.57172823832,47145243.83605799
57,0.0001,9,160.84345727620274,171760.60194843955,30997.424357436423,46738520.70706385
58,0.0001,10,159.47102541075756,169279.74395244094,31072.182239092373,46340300.951778576
59,0.0001,11,158.18793305074024,166866.19791373034,31128.861077437676,45950533.7935007
60,0.0001,12,156.8978172205865,164516.96127536087,31190.19540343734,45569422.4875274
61,0.0001,13,155.7032545862199,162229.9849066451,31243.347375557845,45194882.973056935
62,0.0001,14,154.50326060322368,160002.61518524605,31295.986413920633,44832138.00224945
63,0.0001,15,153.32851117142818,157830.7866369215,31346.81510785655,44477230.976468004
64,0.0001,16,152.17309695759565,155714.32386767634,31394.314844971006,44127534.92849851
65,0.0001,17,151.03023732871617,153651.0862777965,31438.811004974763,43787361.562263355
66,0.0001,18,149.89269793102142,151640.16417117178,31475.878394436233,43455203.26884329
67,0.0001,19,148.75452020715048,149676.49845711247,31513.944902950792,43130757.57692816
68,0.0001,20,147.64936002233478,147757.18517490913,31547.222589372526,42813301.88932847
69,0.0001,21,146.55013303371874,145885.09792336848,31581.203874632654,42505468.15981706
70,0.0001,22,145.4845925264318,144054.6719623419,31608.373996813465,42202955.57307383
71,0.0001,23,144.4471700158558,142265.3529154497,31639.59666878956,41908382.74749567
72,0.0001,24,143.42343091741657,140516.30808223618,31662.34823880258,41620877.758515954
73,0.00015000000000000001,1,-,-,-,-
74,0.00015000000000000001,2,-,-,-,-
75,0.00015000000000000001,3,-,-,-,-
76,0.00015000000000000001,4,143.25616861545663,137630.12212796783,32494.447708419848,41576421.45856886
77,0.00015000000000000001,5,142.34605163327188,136010.26224051314,32513.012665363676,41314338.71756321
78,0.00015000000000000001,6,141.436915077384,134424.67849294184,32528.353807510717,41058634.81036112
79,0.00015000000000000001,7,140.56133800705095,132869.7186837693,32549.09653271117,40808916.52790807
80,0.00015000000000000001,8,139.68718398209595,131346.08820035635,32561.434421935126,40565969.53899309
81,0.00015000000000000001,9,138.8622469566581,129852.81995702507,32582.570433288194,40328218.29096323
82,0.00015000000000000001,10,138.03874494654517,128388.67924622071,32594.18542127484,40096427.93047286
83,0.00015000000000000001,11,137.26653566553566,126950.88632131457,32599.887240870594,39870367.94321973
84,0.00015000000000000001,12,136.48974552849347,125541.14640152779,32620.48777189502,39649741.8615744
85,0.00015000000000000001,13,135.74427364262593,124157.70627650841,32628.156192317165,39434387.356024764
86,0.00015000000000000001,14,135.0069903475439,122799.88474011322,32636.38507692103,39224232.32456761
87,0.00015000000000000001,15,134.30163486487558,121466.34986416162,32649.534917199395,39019095.49789158
88,0.00015000000000000001,16,133.60870599942794,120156.89626896988,32663.028478291686,38818911.1187938
89,0.00015000000000000001,17,132.91479930066708,118870.19005055478,32666.620131765158,38622881.72458839
90,0.00015000000000000001,18,132.22615814241183,117603.50569856854,32674.923530022177,38433048.91626872
91,0.00015000000000000001,19,131.5633642992629,116360.5732658007,32682.903096744703,38246180.99115684
92,0.00015000000000000001,20,130.9062187981501,115138.6522147325,32692.96329635787,38064151.117141046
93,0.00015000000000000001,21,130.2674198389595,113936.70596835403,32700.379509904476,37886370.900499314
94,0.00015000000000000001,22,129.64495602142622,112754.70588635125,32709.082861156858,37712708.476133175
95,0.00015000000000000001,23,129.03808395250303,111592.5424382659,32726.158270952394,37543116.960039176
96,0.00015000000000000001,24,128.46177605839515,110448.12341518405,32720.634156522607,37377400.83652195
97,0.0002,1,-,-,-,-
98,0.0002,2,-,-,-,-
99,0.0002,3,-,-,-,-
100,0.0002,4,129.48998350161193,108934.88472600422,33530.18793052347,37668120.99318358
101,0.0002,5,128.94812829073683,107846.19288791934,33526.03074754683,37514979.335073784
102,0.0002,6,128.42648679582123,106774.04175646661,33540.8944865272,37367136.186191976
103,0.0002,7,127.90968809715983,105716.93634186439,33543.52953939017,37221160.37745798
104,0.0002,8,127.40515548373243,104676.23511935423,33556.81268342922,37078824.06994409
105,0.0002,9,126.91923048536805,103652.71507591993,33562.276530309806,36939563.28889656
106,0.0002,10,126.45090901845428,102640.47011764182,33578.22378434179,36803457.14749191
107,0.0002,11,125.98644788700366,101646.44079066337,33580.14739269296,36669745.66027526
108,0.0002,12,125.54617414906244,100665.84747739707,33588.08384816645,36540268.697406776
109,0.0002,13,125.10697254708548,99694.41593172988,33608.00411364602,36412369.04134101
110,0.0002,14,124.6995020277446,98738.08148083652,33599.472036009545,36287548.5095194
111,0.0002,15,124.28070303446503,97804.19128470305,33621.00786937078,36164849.18696567
112,0.0002,16,123.87972678360784,96853.57923314818,33618.06977164916,36046483.58597663
113,0.0002,17,123.44027473265696,95926.59674357284,33638.097666086804,35928848.655362524
114,0.0002,18,123.04710664330896,95107.93818356664,33639.951749586755,35814176.09891357
115,0.0002,19,122.68217506672386,94171.07359874068,33653.75286457924,35701373.14948959
116,0.0002,20,122.29941595406531,93284.26823803633,33661.28671230106,35592563.72197089
117,0.0002,21,121.88677640138263,92417.1464284432,33676.59751686079,35483635.1271866
118,0.0002,22,121.53061827419238,91561.60139897477,33678.88392143022,35379485.82096882
119,0.0002,23,121.15833850789203,90715.24912469274,33698.43149134283,35276127.7743622
120,0.0002,24,120.81193550970458,89888.10908189662,33694.92840433907,35172871.13437607
