x_over_c,Cf_exp,Cf_uncertainty,Cf_cfd,Cf_error
0.6,0.00536,0.00015,0.003309324816091961,-0.002050675183908039
0.61,0.00521,0.00022,0.002653512850508107,-0.0025564871494918933
0.62,0.00505,0.0003,0.002072828099440785,-0.0029771719005592147
0.75,-0.00016,1e-05,-0.0005094962892369083,-0.0003494962892369083
0.76,-0.00016,1e-05,-0.0005246057319097373,-0.0003646057319097373
0.78,-0.00022,1e-05,-0.0005583321095790649,-0.0003383321095790649
0.79,-0.00025,1e-05,-0.0005762717450687716,-0.0003262717450687716
0.8,-0.00033,1e-05,-0.0006016761179103468,-0.00027167611791034684
0.81,-0.00038,1e-05,-0.000622033298878093,-0.00024203329887809296
0.82,-0.00046,1e-05,-0.0006436008248773798,-0.00018360082487737974
0.83,-0.00055,1e-05,-0.0006665591358500832,-0.00011655913585008316
0.84,-0.00063,2e-05,-0.0006909566905376739,-6.095669053767384e-05
0.85,-0.00071,3e-05,-0.00071697008410108,-6.970084101079964e-06
0.86,-0.00078,2e-05,-0.0007541326135950319,2.5867386404968083e-05
0.87,-0.00089,2e-05,-0.0007836219253403122,0.00010637807465968779
0.88,-0.00099,2e-05,-0.0008140370614345106,0.00017596293856548943
0.89,-0.00108,3e-05,-0.0008449344845944926,0.00023506551540550746
0.9,-0.00123,3e-05,-0.0008856654174798723,0.0003443345825201277
0.91,-0.00129,3e-05,-0.0009147307576188817,0.00037526924238111823
0.92,-0.00136,3e-05,-0.000941378676503098,0.0004186213234969021
0.93,-0.00139,3e-05,-0.0009644750274684098,0.00042552497253159013
0.94,-0.00138,3e-05,-0.0009825032525371269,0.00039749674746287307
0.95,-0.00144,5e-05,-0.0009946830643216154,0.00044531693567838467
0.96,-0.00144,4e-05,-0.000998212434443148,0.0004417875655568521
0.97,-0.00146,4e-05,-0.0009887997960370154,0.0004712002039629845
0.98,-0.00146,4e-05,-0.0009672397149348696,0.0004927602850651303
0.99,-0.0014,4e-05,-0.0009332126712812157,0.00046678732871878426
1.0,-0.00135,4e-05,-0.0008873341309507329,0.00046266586904926714
1.01,-0.00125,4e-05,-0.0008110415342555611,0.0004389584657444389
1.02,-0.00118,4e-05,-0.0007367190782607272,0.0004432809217392729
1.03,-0.00109,4e-05,-0.0006543923156081637,0.00043560768439183635
1.04,-0.00096,5e-05,-0.0005660810745021721,0.00039391892549782794
1.05,-0.00083,3e-05,-0.00047302605348713034,0.00035697394651286967
1.06,-0.00073,3e-05,-0.00032682455840864194,0.000403175441591358
1.07,-0.00061,3e-05,-0.0002262315069037538,0.00038376849309624617
1.08,-0.00048,4e-05,-0.00012245742384895953,0.0003575425761510405
1.09,-0.00038,4e-05,-2.025022398260918e-05,0.00035974977601739084
1.15,0.00049,4e-05,0.0006042413518469902,0.00011424135184699019
1.16,0.00061,4e-05,0.0007310709687075738,0.00012107096870757382
1.17,0.00073,3e-05,0.0008113034714729621,8.130347147296214e-05
1.18,0.00074,3e-05,0.0008880051985549473,0.00014800519855494732
1.19,0.00081,3e-05,0.0009611575100145172,0.00015115751001451723
1.2,0.0009,3e-05,0.0010307735669438077,0.0001307735669438077
1.21,0.00098,3e-05,0.0011286203262605853,0.0001486203262605853
1.22,0.00104,3e-05,0.0011893053795397404,0.00014930537953974053
1.23,0.00113,3e-05,0.0012474746835510707,0.00011747468355107079
1.24,0.00119,3e-05,0.0013019443447642412,0.00011194434476424113
1.25,0.00127,3e-05,0.001377886876123833,0.00010788687612383295
1.26,0.00136,3e-05,0.0014248737049247845,6.487370492478436e-05
1.27,0.00139,4e-05,0.0014690792201407273,7.907922014072739e-05
1.28,0.00144,4e-05,0.001510627822090512,7.062782209051196e-05
1.29,0.00151,5e-05,0.0015496474590544558,3.9647459054455766e-05
1.3,0.00151,5e-05,0.001586266169349092,7.6266169349092e-05
1.31,0.00157,5e-05,0.001636968185849367,6.696818584936708e-05
1.32,0.00159,5e-05,0.0016681321333550626,7.813213335506252e-05
1.33,0.00165,4e-05,0.0016973260930460592,4.7326093046059234e-05
1.34,0.00169,4e-05,0.0017246656995569785,3.466569955697845e-05
1.35,0.00174,4e-05,0.001762440989634652,2.2440989634652094e-05
1.36,0.00178,4e-05,0.0017856225949031753,5.6225949031753816e-06
1.37,0.00183,5e-05,0.0018073198844476145,-2.268011555238555e-05
1.38,0.00187,4e-05,0.0018276279285465394,-4.237207145346049e-05
1.39,0.00191,4e-05,0.001846636894650673,-6.336310534932701e-05
1.4,0.00195,4e-05,0.0018644323765701271,-8.556762342987276e-05
1.41,0.00197,3e-05,0.0018890261591208034,-8.09738408791966e-05
1.42,0.00198,4e-05,0.0019041321890515032,-7.58678109484968e-05
1.43,0.00202,4e-05,0.0019182883756727654,-0.00010171162432723465
1.44,0.00207,4e-05,0.001931560168630384,-0.0001384398313696157
1.45,0.00208,5e-05,0.0019440090243099141,-0.0001359909756900857
1.46,0.00212,5e-05,0.001961264400932547,-0.0001587355990674529
1.47,0.00211,5e-05,0.0019719001842319335,-0.0001380998157680664
1.48,0.00214,4e-05,0.0019818989528960036,-0.00015810104710399639
1.49,0.00216,4e-05,0.0019913056398919615,-0.0001686943601080385
1.5,0.00218,4e-05,0.0020043955442029127,-0.00017560445579708735
1.51,0.00219,4e-05,0.002012497239739492,-0.00017750276026050815
1.52,0.00222,4e-05,0.002020139689564622,-0.00019986031043537798
1.53,0.00225,5e-05,0.0020273550474081176,-0.00022264495259188225
1.54,0.00224,4e-05,0.0020341732122622176,-0.00020582678773778222
1.55,0.00223,5e-05,0.002040621282709214,-0.00018937871729078626
1.56,0.00228,6e-05,0.0020496241843110325,-0.00023037581568896744
1.57,0.00223,0.0001,0.0020552030511939478,-0.00017479694880605245
