x_m,y_m,Ux_ms,Uy_ms,p_m2s2,k_m2s2,omega_s-1,nut_m2s-1
0.504,0.0,6.47146339461,-0.0192284016082,40.869411769,2.56698256763,88392.0995381,2.90408597719e-05
0.504,0.001454279886548117,9.834366608940392,-0.19573592529800776,40.29794787951545,14.296330293539663,6296.350127671916,0.0022873500511897083
0.504,0.002908559773096234,11.034723767960008,-0.40803288632669843,39.33777002754681,19.760095868937636,3889.674491769738,0.005085598041709949
0.504,0.004362839659644351,12.07490538335271,-0.6200184719798797,38.504746241499966,23.557330101652592,3289.411852742752,0.007163343694167744
0.504,0.005817119546192468,13.108356368866668,-0.8288747552511178,37.80156144419239,26.522504928804455,3110.8641446920183,0.008525845209000068
0.504,0.007271399432740585,14.188622325776945,-1.0330973783372148,37.18019417558452,28.866481906561763,3096.648732912139,0.009321718359843181
0.504,0.008725679319288701,15.34301482449304,-1.2312328652145685,36.59037845575832,30.618819368730154,3156.02133995921,0.00970152337438293
0.504,0.010179959205836819,16.584279286413302,-1.4219695815314255,35.991171356323996,31.74087325255957,3243.86134646773,0.009784706593377738
0.504,0.011634239092384936,17.913488367098797,-1.603929752991559,35.354787465982,32.17402765761557,3333.066010811439,0.009652935800804693
0.504,0.013088518978933053,19.32934395220035,-1.776490910780564,34.66536979871719,31.8461055619563,3405.199388840039,0.009344525406714604
0.504,0.01454279886548117,20.86900488552077,-1.935460966684471,34.12453037069512,30.654998663953066,3442.6254833286052,0.00819232766839453
0.504,0.015997078752029287,22.55699051955147,-2.078893044517964,33.39687925779041,28.427904502920168,3413.6062211556987,0.007206853774408514
0.504,0.017451358638577403,24.29410801150692,-2.2094841620776737,32.49037385444948,25.301571503725487,3315.5716772192513,0.0063824760927695505
0.504,0.018905638525125522,26.009637560374756,-2.3270111482881233,31.440110401467855,21.576646008852368,3164.779272243195,0.005650836570899416
0.504,0.020359918411673637,27.62513846670919,-2.4304466087187833,30.246794952762112,17.643804551610444,2974.6621982511833,0.005099801460905372
0.504,0.021814198298221756,29.06101485928264,-2.5179419544720827,28.93482250243936,13.94816538959905,2768.4555900470987,0.004748559117090475
0.504,0.02326847818476987,30.31321630719019,-2.5896902502282977,27.536482614860518,10.620729818032133,2547.7078981260806,0.0041679030797214045
0.504,0.024722758071317987,31.456567608497515,-2.6490530264194825,26.056664254571757,7.565259780875294,2283.0557087420575,0.0033106099039491924
0.504,0.026177037957866106,32.452246434887236,-2.6952851810010023,24.505201349090996,4.938301418129367,1950.102553709656,0.0025296607198506986
0.504,0.02763131784441422,33.23088206710765,-2.7277790248934224,22.89436832457862,2.999182201836126,1562.8978179696512,0.0019160172963256484
0.504,0.02908559773096234,33.77846780604494,-2.747955173852766,21.249692730160294,1.8116185594853218,1197.1585842018371,0.0015102189716662334
0.504,0.030539877617510456,34.14873213038941,-2.7585906637123827,19.597466495466037,1.1716204416960994,925.7614508552056,0.0012638402544747807
0.504,0.031994157504058575,34.40245806166109,-2.761836419588473,17.949617524306586,0.8267068455720756,752.3116063187065,0.0010981344806707842
0.504,0.03344843739060669,34.5752495268617,-2.7590649477281004,16.31501788710237,0.6192383126620051,640.9684900362602,0.0009657876876366254
0.504,0.034902717277154806,34.68795204514376,-2.7515232905629277,14.700167627363097,0.479274877166661,562.1741354892107,0.0008523749270981986
0.504,0.03635699716370292,34.75949894425197,-2.7406416256673993,13.109613390486246,0.379023712855113,501.36434062981726,0.00075582038551881
0.504,0.037811277050251044,34.80831183422228,-2.7278192464344224,11.545935490177158,0.30601739878987577,452.4091171209173,0.0006762076241495698
