x_m,y_m,Ux_ms,Uy_ms,p_m2s2,k_m2s2,omega_s-1,nut_m2s-1
0.378,0.0,-4.71990550584,1.01149818851,7.53862134435,1.97921213629,94280.9756338,2.09926989298e-05
0.378,0.001454279886548117,-1.9997840643295355,0.2666127735820205,86.41447047740976,2.1326380917645054,90276.29695569124,2.362191312593743e-05
0.378,0.002908559773096234,-3.739463720024591,0.6725432518920097,47.0454597597872,2.1888118407989254,92789.05396203884,2.358932923875879e-05
0.378,0.004362839659644351,-4.508523279675028,0.9385385472609461,18.193934009844973,2.0644988992516775,93992.03819611133,2.1963998830755444e-05
0.378,0.005817119546192468,-3.855843004810201,0.8839591223771338,4.43535128472074,10.022671592942869,12974.555959885767,0.0008061796564115914
0.378,0.007271399432740585,-1.4883188127752194,0.2704758998979873,3.2001803439792775,19.75886913682789,6926.593428374158,0.002860128120258216
0.378,0.008725679319288701,1.0330034281766385,-0.3928386231504211,2.0874852289812553,26.30504036367736,6596.516524181289,0.003987417961805113
0.378,0.010179959205836819,3.878330379306941,-1.1438247221280577,1.124273744793388,31.197351321588688,7085.4330633378895,0.004292768541063603
0.378,0.011634239092384936,7.291638255941549,-2.0333085586615933,0.37145756710456934,34.63692064072477,7879.837803913092,0.003976804190039133
0.378,0.013088518978933053,11.259997812132669,-3.0372748976273605,-0.2381803569286233,35.76460264095406,8515.667770537782,0.003589069245128865
0.378,0.01454279886548117,15.744639713697977,-4.120702645751108,-0.7953547011232974,33.49594821168865,8647.034146677306,0.0031298679328586637
0.378,0.015997078752029287,20.250349280074616,-5.145617701608403,-1.4263029183270668,27.50796423903601,8163.361134450347,0.002970968232780786
0.378,0.017451358638577403,24.092420149849247,-5.96364176604948,-2.2317408698411203,20.324499334893417,7424.152507981391,0.0027368928649729517
0.378,0.018905638525125522,27.574149466982423,-6.65420266764094,-3.2209052452882427,12.897338477206505,6524.462967012017,0.001973722915286131
0.378,0.020359918411673637,30.51265999304249,-7.197314805591655,-4.398909461521855,6.379187311133708,5113.990228828366,0.0012439727610231118
0.378,0.021814198298221756,32.45055657296997,-7.51909451956758,-5.716460027634445,2.6238550883476166,3355.8311963873493,0.0007803951115164748
0.378,0.02326847818476987,33.44752890086783,-7.640075073515184,-7.117683622770235,1.2345141157565338,2097.2490530498676,0.0005880290291792563
0.378,0.024722758071317987,33.97519166180192,-7.657643355389799,-8.591733919581932,0.7275175748078044,1437.217048681406,0.0005057041248874866
0.378,0.026177037957866106,34.279480481774634,-7.623770962453226,-10.132781198303794,0.48946077078604605,1078.5577551721594,0.0004533808141253967
0.378,0.02763131784441422,34.44616907658811,-7.558000927934877,-11.729748056399078,0.35732032073066367,863.193301452158,0.0004137521404966535
0.378,0.02908559773096234,34.53362994185638,-7.4746601494906555,-13.371059394309942,0.2797783213017664,724.2250789891235,0.00038623316181365567
0.378,0.030539877617510456,34.59476887636898,-7.386392393336505,-15.053507126417902,0.23419677355019275,630.7282542553842,0.00037126915288618166
0.378,0.031994157504058575,34.6560673062316,-7.299548568907814,-16.762540532328508,0.20775051500228717,566.629760860112,0.000366639603539477
0.378,0.03344843739060669,34.72222953444411,-7.214977593540512,-18.499648548911374,0.19324177159748612,523.0922930531981,0.0003694318168652157
0.378,0.034902717277154806,34.79109839812505,-7.132176359718846,-20.26045396507973,0.1856899749237592,493.03808486356934,0.000376648610721684
0.378,0.03635699716370292,34.860880330941136,-7.050722356041831,-22.03659407029074,0.1817586001658038,470.85060596914406,0.0003860446340761936
0.378,0.037811277050251044,34.93110058300718,-6.970440246663909,-23.827358746635372,0.17975039151753686,453.36237348809254,0.00039649928458265575
0.378,0.03926555693679916,35.00153930308031,-6.891250832592461,-25.629479603490115,0.17873352126762695,438.65345970180636,0.0004074705566437212
0.378,0.040719836823347275,35.07204438521922,-6.813092369667065,-27.43988067020051,0.17824184436903048,425.66667672339116,0.0004187444975507483
0.378,0.04217411670989539,35.14246452249025,-6.735904249318556,-29.255647340736527,0.17805511846178443,413.8461993115707,0.00043025479707038385
0.378,0.04362839659644351,35.212639828338595,-6.659625276744649,-31.074079948184796,0.17807036689568112,402.8969288450275,0.000441989522794647
0.378,0.04508267648299163,35.282406787021934,-6.5841964428371815,-32.89273017067483,0.17823602701402821,392.6507504058082,0.00045395039418097465
0.378,0.04653695636953974,35.35160866841768,-6.509562926867875,-34.70936643082902,0.17852177878670855,383.000636665879,0.0004661376742383278
0.378,0.04799123625608786,35.420108879628245,-6.435675187847817,-36.52197554654112,0.17890590155118805,373.8703260266904,0.00047854586627487245
0.378,0.049445516142635974,35.48770725776699,-6.3624375147380245,-38.32541998667685,0.17937011290003904,365.1981202083792,0.0004911643013654038
0.378,0.0508997960291841,35.5544035219277,-6.289943260328187,-40.12325848396096,0.17990269298453687,356.97109971488806,0.000503988248579352
0.378,0.05235407591573221,35.620128126053736,-6.218115892475278,-41.91271782911842,0.1804835495763715,349.1263557664392,0.0005169847170998082
