x_m,y_m,tau_uv_m2s2
0.546,0.0,-0.3833828652560234
0.546,0.001454279886548117,-2.683715933507705
0.546,0.002908559773096234,-1.733857957641728
0.546,0.004362839659644351,-1.6360938032784198
0.546,0.005817119546192468,-1.5124892155872707
0.546,0.007271399432740585,-1.255573481716682
0.546,0.008725679319288701,-0.883464332142423
0.546,0.010179959205836819,-0.47460807908207375
0.546,0.011634239092384936,-0.16711962045327186
0.546,0.013088518978933053,-0.0453657713331155
0.546,0.01454279886548117,-0.014182494093518098
0.546,0.015997078752029287,-0.008760744532861527
0.546,0.017451358638577403,-0.008453431377591133
0.546,0.018905638525125522,-0.008786580300249626
0.546,0.020359918411673637,-0.0091260565128114
0.546,0.021814198298221756,-0.009430684774187612
0.546,0.02326847818476987,-0.009718768288162703
0.546,0.024722758071317987,-0.010013991619547274
0.546,0.026177037957866106,-0.010320881545128524
0.546,0.02763131784441422,-0.01064733469950571
0.546,0.02908559773096234,-0.01100074040823805
0.546,0.030539877617510456,-0.011363405130550806
0.546,0.031994157504058575,-0.011735344580513837
0.546,0.03344843739060669,-0.012121246006219194
0.546,0.034902717277154806,-0.012520179419752591
0.546,0.03635699716370292,-0.012927068602018064
0.546,0.037811277050251044,-0.013337039167114283
0.546,0.03926555693679916,-0.013747514727597993
0.546,0.040719836823347275,-0.01416236762696573
0.546,0.04217411670989539,-0.014593661338274078
0.546,0.04362839659644351,-0.015032185981331147
0.546,0.04508267648299163,-0.015443807668351387
0.546,0.04653695636953974,-0.01586267346761286
0.546,0.04799123625608786,-0.016303205096050804
0.546,0.049445516142635974,-0.016709236595054997
0.546,0.0508997960291841,-0.017132964440901625
0.546,0.05235407591573221,-0.017534101037793574
0.546,0.05380835580228033,-0.017932597142293484
0.546,0.05526263568882844,-0.018318745951831472
0.546,0.056716915575376566,-0.018682308238656263
0.546,0.05817119546192468,-0.019051112133304238
0.546,0.059625475348472796,-0.019373854414889598
0.546,0.06107975523502091,-0.0197176291768027
0.546,0.06253403512156903,-0.0200203992478602
0.546,0.06398831500811715,-0.02028683663036915
0.546,0.06544259489466527,-0.02058228696869112
0.546,0.06689687478121338,-0.020843377367079457
0.546,0.0683511546677615,-0.021053000917694298
0.546,0.06980543455430961,-0.021260773592278723
0.546,0.07125971444085773,-0.021478314755713976
0.546,0.07271399432740584,-0.02167003978866973
0.546,0.07416827421395397,-0.02181676271978186
0.546,0.07562255410050209,-0.021942874981609177
