x_m,y_m,Ux_ms,Uy_ms,p_m2s2,k_m2s2,omega_s-1,nut_m2s-1
0.336,0.0,-3.69636735876,1.26001183962,-85.5035885656,0.9946668864,100758.832058,9.87175879354e-06
0.336,0.001454279886548117,-0.8929789916761175,0.33794063203565117,95.30123948698555,2.099895359833109,90127.29150216276,2.3294430913647878e-05
0.336,0.002908559773096234,-2.2635302508791546,0.7633704974091164,60.898020028580696,2.1816223498493477,92812.65719003826,2.350621966211199e-05
0.336,0.004362839659644351,-2.8276812992268914,1.056293172972709,34.77100725909841,2.1007446113400867,94306.60724486114,2.2268112416178028e-05
0.336,0.005817119546192468,-2.9723978994658653,1.241717111937186,14.876409805148262,1.9602849079506148,95300.91605387042,2.052864381520493e-05
0.336,0.007271399432740585,-3.0047073020214436,1.3455921508590705,-1.9304260092846393,1.8028835191315806,96091.4919540919,1.8676687630018473e-05
0.336,0.008725679319288701,-3.0313100474606687,1.415269381682731,-17.073126609405595,1.6735001624131933,97005.54403254419,1.7118134508182906e-05
0.336,0.010179959205836819,-3.0899013030770086,1.4681641412660174,-31.4782062272476,1.5694947055642137,98048.16303430997,1.5831099965575458e-05
0.336,0.011634239092384936,-3.1778312859162243,1.4936589990246971,-45.34793708806267,1.465462261083595,99052.31006455998,1.4599232880640695e-05
0.336,0.013088518978933053,-3.2303674241902485,1.4946799899378105,-58.43290660747883,1.3590769106955836,99989.46497594495,1.3380796209795077e-05
0.336,0.01454279886548117,-3.25874527161518,1.4488460731185062,-70.57625634085102,1.231569545554908,100729.26681040456,1.2031536236693726e-05
0.336,0.015997078752029287,-3.2566795370006165,1.3608337727123505,-81.76764251421365,1.089427689323365,101309.81079605117,1.060027180065941e-05
0.336,0.017451358638577403,-3.2647586238359034,1.2396639420211828,-92.26192968011665,0.9434952120119399,101803.93594354892,9.19170597726096e-06
0.336,0.018905638525125522,-2.7252880061915,1.0752310538041079,-99.4792289589046,4.854315722627998,15256.122931884265,0.0003412417055700941
0.336,0.020359918411673637,0.0609519020958626,0.19058555828439674,-100.1526409940204,12.795755657455366,7918.756304604035,0.0016159512842818494
0.336,0.021814198298221756,3.4315708824098596,-0.8098112102341223,-100.7646987394152,19.16241699080822,9284.108924127799,0.001993173508729895
0.336,0.02326847818476987,8.404926687449157,-2.197999742234527,-101.31065614590203,24.920519470686127,11926.711945083505,0.001765885396048637
0.336,0.024722758071317987,15.07439718136471,-3.9487799150195504,-101.85808744520676,26.346134058366165,12910.695554215328,0.001599342037175741
0.336,0.026177037957866106,22.094995771493167,-5.692658218437579,-102.54474456775087,21.30000264527254,11707.405285592242,0.0015763345239573497
0.336,0.02763131784441422,27.61782013049211,-6.973204906361124,-103.51938585873401,13.679392994048738,9296.459726986068,0.0014697767234125277
0.336,0.02908559773096234,31.612563754768047,-7.842067666706716,-104.92065520661806,7.3370679763147235,6702.568662615355,0.0010922724588145962
0.336,0.030539877617510456,34.07504799171398,-8.345995969388422,-106.55167077191807,3.619984660515021,4372.201047235961,0.0008269191379330242
0.336,0.031994157504058575,35.4053273808469,-8.587166808166167,-108.29569325040615,1.9396259828553046,2785.019475218699,0.0006957334256784075
0.336,0.03344843739060669,36.1872417522288,-8.697510456731775,-110.09473802213165,1.1851510712483517,1875.4989647452057,0.0006317585342396208
0.336,0.034902717277154806,36.70124630420182,-8.739851008023425,-111.92917688482378,0.7921648854415538,1378.754328592037,0.0005741923597093653
0.336,0.03635699716370292,37.03484226286134,-8.73423623766469,-113.78302478331244,0.5494013896629399,1082.89687920409,0.0005069598691845467
0.336,0.037811277050251044,37.21637076589634,-8.687991304009786,-115.64244466530191,0.3921589887730529,884.5621906865533,0.00044304735404609687
0.336,0.03926555693679916,37.29987470617319,-8.615530321540977,-117.49617099593502,0.29276571878948354,740.3548570326095,0.0003953093610063521
0.336,0.040719836823347275,37.35465846315414,-8.534578183537443,-119.33785910566671,0.23331337129945404,635.3270708034738,0.0003672273283100264
0.336,0.04217411670989539,37.415152223880916,-8.453613072211352,-121.16407823966813,0.20094618600320963,563.655592649264,0.00035648796649158517
0.336,0.04362839659644351,37.48230962126153,-8.372952266599185,-122.97375232386682,0.18408921711752677,515.906043814304,0.0003568360858451742
