x_m,y_m,tau_uv_m2s2
0.336,0.0,-0.033502965262687735
0.336,0.001454279886548117,-0.011436264826473797
0.336,0.002908559773096234,0.015686286121693132
0.336,0.004362839659644351,0.00548956698895285
0.336,0.005817119546192468,0.0013670761068711875
0.336,0.007271399432740585,0.000626010240276028
0.336,0.008725679319288701,0.0008621338771938992
0.336,0.010179959205836819,0.0012670587472657009
0.336,0.011634239092384936,0.0012766231209674704
0.336,0.013088518978933053,0.0010398136984927254
0.336,0.01454279886548117,0.0008401256208087067
0.336,0.015997078752029287,0.0007727674332532391
0.336,0.017451358638577403,-0.0009559101757455001
0.336,0.018905638525125522,-0.36108588062216546
0.336,0.020359918411673637,-3.274714654174511
0.336,0.021814198298221756,-5.5323857425751655
0.336,0.02326847818476987,-6.903093577964026
0.336,0.024722758071317987,-7.378549460065805
0.336,0.026177037957866106,-6.6528663431077835
0.336,0.02763131784441422,-4.676803419904401
0.336,0.02908559773096234,-2.329019009127743
0.336,0.030539877617510456,-1.0083919947439866
0.336,0.031994157504058575,-0.4493451205356023
0.336,0.03344843739060669,-0.23397393210014608
0.336,0.034902717277154806,-0.1277544824753666
0.336,0.03635699716370292,-0.058679684817297705
0.336,0.037811277050251044,-0.01668266975779403
0.336,0.03926555693679916,-0.0009369022905610771
0.336,0.040719836823347275,-0.0013379088695909952
0.336,0.04217411670989539,-0.006279953634627327
0.336,0.04362839659644351,-0.024963426181906598
0.336,0.04508267648299163,-0.03172786433969482
0.336,0.04653695636953974,-0.034481452407166366
0.336,0.04799123625608786,-0.03573754001848165
0.336,0.049445516142635974,-0.036428586695638976
0.336,0.0508997960291841,-0.03680050254859334
0.336,0.05235407591573221,-0.036901498119854555
0.336,0.05380835580228033,-0.03675402865465409
0.336,0.05526263568882844,-0.03637954355450895
0.336,0.056716915575376566,-0.035917592092357724
0.336,0.05817119546192468,-0.035435392209355876
0.336,0.059625475348472796,-0.034944569224954515
0.336,0.06107975523502091,-0.034458110759810937
0.336,0.06253403512156903,-0.03396974056327197
0.336,0.06398831500811715,-0.033473923493419475
0.336,0.06544259489466527,-0.03294723738110498
0.336,0.06689687478121338,-0.03241699660771366
0.336,0.0683511546677615,-0.03188818553771134
0.336,0.06980543455430961,-0.03132375622252226
0.336,0.07125971444085773,-0.030759885430238207
0.336,0.07271399432740584,-0.03016721194749625
0.336,0.07416827421395397,-0.02955776700752248
0.336,0.07562255410050209,-0.02892940168366805
0.336,0.0770768339870502,-0.028272918630324727
0.336,0.07853111387359832,-0.027616023939342062
0.336,0.07998539376014643,-0.02691409578862532
0.336,0.08143967364669455,-0.026209909947898707
0.336,0.08289395353324266,-0.025476842179347037
0.336,0.08434823341979078,-0.02470672373428891
0.336,0.0858025133063389,-0.02395199573123403
0.336,0.08725679319288702,-0.023186733395961192
0.336,0.08871107307943514,-0.022376136234716956
0.336,0.09016535296598326,-0.021562558402757868
0.336,0.09161963285253137,-0.02077459135020812
0.336,0.09307391273907949,-0.0199813709702136
0.336,0.0945281926256276,-0.019176515350330287
0.336,0.09598247251217572,-0.01835457755841217
0.336,0.09743675239872383,-0.017545712461165534
0.336,0.09889103228527195,-0.016765735561772875
0.336,0.10034531217182008,-0.015994545914457783
0.336,0.1017995920583682,-0.015240376705544545
0.336,0.10325387194491631,-0.014508915156286608
0.336,0.10470815183146442,-0.013813544328660611
0.336,0.10616243171801254,-0.013157362682609261
0.336,0.10761671160456066,-0.012530131043785609
0.336,0.10907099149110877,-0.011892387617904657
0.336,0.11052527137765689,-0.011187294882242542
0.336,0.111979551264205,-0.010377921849322751
0.336,0.11343383115075313,-0.009474483180612048
0.336,0.11488811103730125,-0.00853236930147161
0.336,0.11634239092384936,-0.007626270564010226
0.336,0.11779667081039748,-0.006812380530909549
0.336,0.11925095069694559,-0.006109942546605103
0.336,0.12070523058349371,-0.0055055962419005905
0.336,0.12215951047004182,-0.00497091551317489
0.336,0.12361379035658994,-0.0044826511086692306
0.336,0.12506807024313807,-0.004031590566457452
0.336,0.12652235012968618,-0.0035843870870292055
0.336,0.1279766300162343,-0.003147275964310184
0.336,0.12943090990278242,-0.0027544936559728652
0.336,0.13088518978933053,-0.0023948531841707275
0.336,0.13233946967587865,-0.002059669513803428
0.336,0.13379374956242676,-0.001753193765126587
0.336,0.13524802944897488,-0.0014590657357483085
0.336,0.136702309335523,-0.0011587370427439253
0.336,0.1381565892220711,-0.0008866997795239637
0.336,0.13961086910861922,-0.0006540229768720013
0.336,0.14106514899516734,-0.00044614506633903453
0.336,0.14251942888171545,-0.00023784169682819663
0.336,0.14397370876826357,-2.0818144531448688e-05
0.336,0.14542798865481169,0.00016480928252503112
0.336,0.14688226854135983,0.00031384779073365284
0.336,0.14833654842790794,0.0004575204244138397
0.336,0.14979082831445606,0.0006187245352461785
0.336,0.15124510820100417,0.0007600951893189438
0.336,0.1526993880875523,0.0008529079508819257
0.336,0.1541536679741004,0.0009639302854304213
0.336,0.15560794786064852,0.0010875156250733842
0.336,0.15706222774719664,0.0011686095374597867
0.336,0.15851650763374475,0.0012290651356126588
0.336,0.15997078752029287,0.00131431774110289
0.336,0.16142506740684098,0.001394242141315512
0.336,0.1628793472933891,0.001421014917296853
0.336,0.16433362717993721,0.0014761360428814957
0.336,0.16578790706648533,0.0015422535685487412
0.336,0.16724218695303344,0.0015454972681216215
0.336,0.16869646683958156,0.0015793083279335956
0.336,0.17015074672612968,0.0016240291930730158
0.336,0.1716050266126778,0.0016125945264131695
0.336,0.17305930649922593,0.0016306779377147425
0.336,0.17451358638577405,0.0016439078209219873
0.336,0.17596786627232217,0.0016285936773837307
0.336,0.17742214615887028,0.001640299010601484
0.336,0.1788764260454184,0.0016117592566877463
0.336,0.1803307059319665,0.001600190561863668
0.336,0.18178498581851463,0.0016049591163080884
0.336,0.18323926570506274,0.0015561447003542175
0.336,0.18469354559161086,0.001537810139490401
0.336,0.18614782547815897,0.001498447382760382
0.336,0.1876021053647071,0.0014638152686302795
0.336,0.1890563852512552,0.0014447355273169518
0.336,0.19051066513780332,0.0013838097774510586
0.336,0.19196494502435144,0.001351375533538579
0.336,0.19341922491089955,0.001290934782620458
0.336,0.19487350479744767,0.0012390722719159847
0.336,0.19632778468399578,0.0011889398363265475
0.336,0.1977820645705439,0.0011283697838361192
0.336,0.199236344457092,0.001080666417930102
0.336,0.20069062434364016,0.0010063020260813113
0.336,0.20214490423018827,0.0009523647134620234
0.336,0.2035991841167364,0.0008746217266120926
0.336,0.2050534640032845,0.0008139599316731628
0.336,0.20650774388983262,0.0007338560174369178
0.336,0.20796202377638073,0.0006591045626084827
0.336,0.20941630366292885,0.000584517597687669
0.336,0.21087058354947696,0.0005051872943567866
0.336,0.21232486343602508,0.0004264892476228437
0.336,0.2137791433225732,0.0003436791088235124
0.336,0.2152334232091213,0.00026082979441491695
0.336,0.21668770309566943,0.0001749316643239512
0.336,0.21814198298221754,8.831074375742208e-05
0.336,0.21959626286876566,-5.896744657659231e-07
0.336,0.22105054275531377,-9.114106894376412e-05
0.336,0.2225048226418619,-0.0001829544545921737
0.336,0.22395910252841,-0.00027770780907804304
0.336,0.22541338241495812,-0.00037127328199422564
0.336,0.22686766230150626,-0.0004684510076457417
0.336,0.22832194218805438,-0.0005650382539311022
0.336,0.2297762220746025,-0.0006658609624516669
0.336,0.2312305019611506,-0.0007643560142332806
0.336,0.23268478184769872,-0.0008672496250495074
0.336,0.23413906173424684,-0.0009692770491099983
0.336,0.23559334162079495,-0.0010748415570310758
0.336,0.23704762150734307,-0.0011870485943218448
0.336,0.23850190139389119,-0.0012857309083128044
0.336,0.2399561812804393,-0.0013999708561079122
0.336,0.24141046116698742,-0.0015018176114458494
0.336,0.24286474105353553,-0.0016204311941711758
0.336,0.24431902094008365,-0.0017221565628169795
0.336,0.24577330082663176,-0.0018410957042224092
0.336,0.24722758071317988,-0.0019446057740879895
0.336,0.248681860599728,-0.002066416159126818
0.336,0.25013614048627614,-0.0021784246717171324
0.336,0.25159042037282425,-0.0022948085087912302
0.336,0.25304470025937237,-0.0024185835395151368
0.336,0.2544989801459205,-0.0025244555315006366
0.336,0.2559532600324686,-0.002654214253604741
0.336,0.2574075399190167,-0.0027662673885499303
0.336,0.25886181980556483,-0.002895275613008129
0.336,0.26031609969211295,-0.003002596716748485
0.336,0.26177037957866106,-0.003126355565297473
0.336,0.2632246594652092,-0.003263538749834438
0.336,0.2646789393517573,-0.003387087017642929
0.336,0.2661332192383054,-0.0035198819144221564
0.336,0.2675874991248535,-0.003620168267355456
0.336,0.26904177901140164,-0.0037433148611043655
0.336,0.27049605889794975,-0.0038770645519497667
0.336,0.27195033878449787,-0.004031880056207937
0.336,0.273404618671046,-0.004178698268514421
0.336,0.2748588985575941,-0.0042702507114018035
0.336,0.2763131784441422,-0.0043669895455842305
0.336,0.27776745833069033,-0.004491834376092449
0.336,0.27922173821723845,-0.004686921661755968
0.336,0.28067601810378656,-0.004883272384236234
0.336,0.2821302979903347,-0.004986150370189752
0.336,0.2835845778768828,-0.004992313715073113
0.336,0.2850388577634309,-0.005063461321789329
0.336,0.286493137649979,-0.005306577233361737
0.336,0.28794741753652714,-0.005628829591166159
0.336,0.28940169742307525,-0.005823395429660262
0.336,0.29085597730962337,-0.0056922998785117135
0.336,0.2923102571961715,-0.005538597521622557
0.336,0.29376453708271966,-0.005724823531965879
0.336,0.29521881696926777,-0.006348163508047809
0.336,0.2966730968558159,-0.006809064071818526
0.336,0.298127376742364,-0.0065538034200766536
0.336,0.2995816566289121,-0.005998080390157193
0.336,0.30103593651546023,-0.005827616519469861
0.336,0.30249021640200835,-0.006701479488612356
0.336,0.30394449628855646,-0.007873967478868406
0.336,0.3053987761751046,-0.007951949262137626
0.336,0.3068530560616527,-0.006872647953791058
0.336,0.3083073359482008,-0.0058166374008235535
0.336,0.3097616158347489,-0.006293951252519573
0.336,0.31121589572129704,-0.008205948893066245
0.336,0.31267017560784516,-0.00953979454678037
0.336,0.3141244554943933,-0.008476263098024649
0.336,0.3155787353809414,-0.006111712082831317
0.336,0.3170330152674895,-0.004774031783353999
0.336,0.3184872951540376,-0.004501153220662604
0.336,0.31994157504058574,-0.0038990186427222597
0.336,0.32139585492713385,-0.0037324455085227977
0.336,0.32285013481368197,-0.015317490458030778
0.336,0.3243044147002301,-0.033158371954670134
0.336,0.3257586945867782,-0.039282181519659905
0.336,0.3272129744733263,-0.009218662156674533
0.336,0.32866725435987443,0.03356166297098367
0.336,0.33012153424642254,0.046232966181746014
0.336,0.33157581413297066,0.11930614597793605
0.336,0.3330300940195188,0.21525264174589637
0.336,0.3344843739060669,0.2306720984227899
0.336,0.335938653792615,0.21691036661230423
0.336,0.3373929336791631,0.20410685361937833
0.336,0.33884721356571124,0.19257386494932976
0.336,0.34030149345225935,0.18255120096479033
0.336,0.34175577333880747,0.17339525497806849
0.336,0.3432100532253556,0.16461531404409685
0.336,0.3446643331119037,0.1534978723892793
0.336,0.34611861299845187,-0.8942233199427313
0.336,0.347572892885,-2.975698762301555
