x_m,y_m,Ux_ms,Uy_ms,p_m2s2,k_m2s2,omega_s-1,nut_m2s-1
0.504,0.0,13.63097893,-0.00632503875926,54.2415874848,3.95083322603,96780.9933204,4.08224083106e-05
0.504,0.001454279886548117,19.906845246383366,-0.10892418158601039,53.24323038454714,9.185964376222891,6845.379139129869,0.0013523352867092248
0.504,0.002908559773096234,21.575968595014473,-0.2412656665507968,52.82962340566645,11.76925747753716,4203.441792914573,0.0028022271988706934
0.504,0.004362839659644351,22.911568118401807,-0.3724892029101053,52.457531188477994,13.124053944192179,3651.2761884245956,0.0035946963730551815
0.504,0.005817119546192468,24.20248326722974,-0.49740577301463257,52.096866734238766,13.601522856310396,3498.3150092951387,0.0038879687006807945
0.504,0.007271399432740585,25.517702366767082,-0.6130475001672159,51.706106804568,13.245207478204206,3430.4352087280004,0.003861016244584023
0.504,0.008725679319288701,26.866723570906803,-0.7169311240314917,51.256972480663485,12.050586607363854,3323.2171838510103,0.003626093868578528
0.504,0.010179959205836819,28.225126811319562,-0.8070845592032698,50.73434820654545,10.089267515984707,3116.6877705653083,0.0032368030440423938
0.504,0.011634239092384936,29.540066107904444,-0.8795306148749912,50.15851185246618,7.638333853274396,2814.6544779834167,0.0026960089284054655
0.504,0.013088518978933053,30.689892341150248,-0.9377563342963433,49.46989879928521,5.3101546918091,2477.577470000265,0.0021418441071286514
0.504,0.01454279886548117,31.627598720516506,-0.9893955487952182,48.69603502635598,3.3732147620981014,2056.335680982041,0.0016393375285750596
0.504,0.015997078752029287,32.321172139201295,-1.0358627129507758,47.84308476034674,2.040985849406626,1585.5665375420338,0.0012870819415248228
0.504,0.017451358638577403,32.78871936180366,-1.077807588019449,46.92759862714633,1.2951216895381128,1186.633495255148,0.001091330277620673
0.504,0.018905638525125522,33.103487821947155,-1.1156268743364826,45.96743519205453,0.9079123983114279,928.2871557452972,0.0009777704484248955
0.504,0.020359918411673637,33.326872444760824,-1.1496373949997207,44.974476368584405,0.6841374334156811,774.6154879738202,0.0008828506869722262
0.504,0.021814198298221756,33.4862174274198,-1.180080051042962,43.95828675571923,0.5331051646811491,674.2878857830281,0.0007903500659844049
0.504,0.02326847818476987,33.594163164317216,-1.2073474381481946,42.92372465348892,0.4223253262160267,600.2024626582433,0.0007035371976645918
0.504,0.024722758071317987,33.66219558229627,-1.232001169194852,41.86763964432499,0.34039549719531054,541.7153923739947,0.0006281760787342045
0.504,0.026177037957866106,33.70539093298685,-1.2546825405041957,40.80419508049537,0.28027986580533365,494.1257370516472,0.0005671272521522893
