case,mae,cp_mae,cf_mae
PASS 4 best,0.1659136746930731,0.17124643116795285,0.0008483389370731978
SST 800,0.1547381027802645,0.16417879658978082,0.0007681825222876493
ML PASS 1 nonzero,0.1547381027802645,0.16417879658978082,0.0007681825222876493
ML PASS 2 best,0.1547381027802645,0.1641787965897808,0.0007681825222876
