0.378 	0.00585774058577 	3.03883950025e-18 	11.4232373744 	0.00106128920944 	10763.5480251 	2.78140981544 	-3.61131246089 	0.832981722971 	-2.96724946803e-20
0.378 	0.00732217573222 	3.59303236434e-18 	20.1031397933 	0.00294831486845 	6818.51860817 	1.65995711112 	-1.38896915772 	0.256423307258 	5.46891949852e-21
0.378 	0.00878661087866 	2.82369583202e-18 	26.5713530058 	0.00402371951027 	6603.67924205 	0.584070785761 	1.17386980737 	-0.418743117556 	-5.53821547051e-22
0.378 	0.0102510460251 	-8.82815078865e-19 	31.721828735 	0.00422696032508 	7190.75169983 	-0.384623396056 	4.29115770303 	-1.24299664899 	-2.39396382344e-21
0.378 	0.0117154811715 	-1.36846668253e-18 	34.7416552274 	0.00394626824605 	7942.14138769 	-1.02479540576 	7.48034347513 	-2.07474794404 	-1.14143693049e-20
0.378 	0.013179916318 	-1.4683603708e-18 	35.7552744226 	0.00356261018219 	8555.04089157 	-1.5743965551 	11.3461065462 	-3.05418539966 	-7.86599956786e-21
0.378 	0.0146443514644 	-5.38967491712e-18 	33.338816257 	0.00309945480549 	8677.16743487 	-2.11163568352 	15.9460340758 	-4.16645666359 	2.16073603989e-20
0.378 	0.0161087866109 	-2.23161933194e-18 	26.6719972808 	0.00296892370861 	8109.40994918 	-2.77651418446 	20.7679096903 	-5.25996568394 	5.55258013943e-21
0.378 	0.0175732217573 	-2.98736323167e-18 	20.5917980192 	0.00275379032038 	7477.62016111 	-3.44614527981 	23.9816209755 	-5.94303115929 	-5.7351507913e-21
0.378 	0.0190376569038 	-1.30134801265e-18 	11.839750374 	0.00185574233565 	6380.06157779 	-4.60074881364 	28.0733332106 	-6.75372307297 	-8.53654957602e-20
0.378 	0.0205020920502 	9.38706998033e-19 	5.99472886637 	0.00119793495691 	5004.21899517 	-5.69312314742 	30.7182654341 	-7.23917829995 	7.4474634724e-20
0.378 	0.0219665271967 	1.8746178347e-18 	2.54998162551 	0.000770985113896 	3307.43302245 	-6.95011652482 	32.5250473901 	-7.53729074142 	-2.23014671194e-20
0.378 	0.0234309623431 	1.40540249949e-18 	1.21160247689 	0.000585202785462 	2070.39765872 	-8.33603084966 	33.4998806722 	-7.65418374113 	-5.7666644653e-20
0.378 	0.0248953974895 	1.05761764333e-18 	0.704777692585 	0.000502050898135 	1403.79729466 	-9.8528178535 	34.0350431471 	-7.66988273249 	-2.57157544378e-19
0.378 	0.026359832636 	2.06787494439e-18 	0.463829955878 	0.000446954162137 	1037.75732541 	-11.5052826955 	34.3453104198 	-7.62920037094 	-5.42100268434e-20
0.378 	0.0278242677824 	1.22630325185e-18 	0.331369492908 	0.000404908327153 	818.381521659 	-13.291671619 	34.507108968 	-7.54952204713 	-4.56446050349e-19
0.378 	0.0292887029289 	5.52027070629e-19 	0.276508694519 	0.000385084735993 	718.046364019 	-14.5549416475 	34.5674125442 	-7.48334324118 	-1.4080716611e-19
0.378 	0.0307531380753 	9.09598883791e-19 	0.225546615694 	0.000368935551622 	611.34421636 	-16.5556586488 	34.6389853852 	-7.37714741139 	8.49944693976e-20
0.378 	0.0322175732218 	-4.73140820722e-19 	0.205876694542 	0.000366428872702 	561.8462678 	-17.9593353653 	34.6900171649 	-7.30541753846 	5.08004362645e-19
0.378 	0.0336820083682 	-9.84850836922e-20 	0.193746103656 	0.000368942215914 	525.139426442 	-19.4188808713 	34.7459003929 	-7.23339191745 	2.5306224964e-19
0.378 	0.0351464435146 	2.71465294334e-19 	0.184238793979 	0.000378756030829 	486.431314574 	-21.7129451932 	34.8360337746 	-7.12410332847 	-2.66544244159e-19
0.378 	0.0366108786611 	3.04896055609e-19 	0.181183468298 	0.000387606420866 	467.44186511 	-23.3117215361 	34.8990777089 	-7.05011078164 	4.34477650685e-20
0.378 	0.0380753138075 	-4.93851106799e-19 	0.179499860362 	0.000397478168612 	451.59677823 	-24.9653995851 	34.964143041 	-6.97511639439 	3.39494283561e-20
0.378 	0.039539748954 	2.1941293986e-18 	0.178590957352 	0.00040804100703 	437.678944702 	-26.6733320894 	35.0311347888 	-6.89908078267 	1.31610058348e-19
0.378 	0.0410041841004 	8.40204059086e-19 	0.178131412568 	0.000419164288447 	424.968007718 	-28.4347445323 	35.0999779603 	-6.82197018582 	2.50352498498e-19
0.378 	0.0424686192469 	5.79154358631e-19 	0.177956275437 	0.000430820369056 	413.063745865 	-30.2486853932 	35.1705755397 	-6.74374760818 	2.68895793564e-19
0.378 	0.0439330543933 	1.15077177045e-18 	0.177985764404 	0.000443025949904 	401.75020096 	-32.1140539055 	35.2427983558 	-6.66437192681 	2.69470488796e-19
0.378 	0.0453974895397 	2.29484776776e-18 	0.178180722727 	0.000455811711427 	390.90861042 	-34.0296061924 	35.3164856669 	-6.58379946191 	-1.35338028808e-19
0.378 	0.0468619246862 	1.2783570897e-18 	0.178519074763 	0.000469208174557 	380.468807757 	-35.9939315452 	35.3914512736 	-6.50198644639 	-5.79366785664e-19
0.378 	0.0483263598326 	1.75873498325e-18 	0.178984441422 	0.000483239256782 	370.38472953 	-38.0054396034 	35.4675009228 	-6.41889197568 	8.07134462439e-20
0.378 	0.0497907949791 	-1.06580272476e-19 	0.179259845462 	0.000490497578411 	365.46530167 	-39.0283425044 	35.5058731305 	-6.37685268761 	-8.41121543997e-19
0.378 	0.0512552301255 	8.16966685538e-19 	0.179885497579 	0.000505502852236 	355.854564982 	-41.1072596455 	35.5832005898 	-6.29176981404 	-1.34002547636e-19
0.378 	0.052719665272 	2.10567141286e-19 	0.180595256213 	0.000521154317747 	346.529329344 	-43.2286036734 	35.6611656388 	-6.20532373469 	2.06363540111e-19
0.378 	0.0541841004184 	8.66233768422e-19 	0.181368482842 	0.000537434066587 	337.471132029 	-45.3901384989 	35.7396118269 	-6.11748759457 	-7.81104405616e-20
0.378 	0.0556485355649 	1.38689965487e-18 	0.181771943336 	0.000545800353049 	333.037423521 	-46.4852261531 	35.7789711776 	-6.07304047501 	3.66605846626e-19
0.378 	0.0571129707113 	7.07899677048e-19 	0.182597661119 	0.000562959831139 	324.352912978 	-48.7024338585 	35.8578875469 	-5.98307404906 	-7.03881028028e-19
0.378 	0.0585774058577 	7.08673495396e-19 	0.18301358478 	0.000571739698851 	320.09948784 	-49.8238742427 	35.8974195126 	-5.93754953472 	3.9228880709e-19
0.378 	0.0600418410042 	9.05638634323e-19 	0.183834838261 	0.00058965885849 	311.764735855 	-52.0906387539 	35.9765782548 	-5.84540537869 	3.48462785053e-19
0.378 	0.0615062761506 	2.03919104907e-19 	0.184233213882 	0.000598778672523 	307.681656572 	-53.2352119434 	36.0161877522 	-5.79878090496 	-5.06529935998e-19
0.378 	0.0629707112971 	3.12532954847e-19 	0.184987782569 	0.000617282733509 	299.680798646 	-55.5447772662 	36.0954360904 	-5.70441603623 	3.20958079034e-19
0.378 	0.0644351464435 	1.31245693786e-18 	0.18533691442 	0.000626641915489 	295.762076936 	-56.7089506559 	36.1350672586 	-5.65667152448 	1.26962275175e-20
0.378 	0.06589958159 	-1.14666209036e-19 	0.185662662268 	0.000636054537569 	291.897394487 	-57.8788204553 	36.1746990402 	-5.60854949709 	7.24328442649e-19
0.378 	0.0673640167364 	-8.12368799795e-19 	0.18623086374 	0.00065498238082 	284.3295777 	-60.2338934706 	36.2539502502 	-5.51116363568 	2.56415965891e-19
0.378 	0.0688284518828 	-1.57013767116e-18 	0.186467145331 	0.000664467426868 	280.626465333 	-61.4181933712 	36.2935617969 	-5.46189495625 	1.36028687522e-19
